gene,slope_z,r,p,n_cells_expr,biotype
Ccl1,0.0483248601046,0.0755838532782386,0.3229774273598749,173,protein-coding
Tmem132e,0.0797704301536417,0.061628955817052,0.1969502372610947,440,protein-coding
Cct6b,0.0335899522502522,0.0361496705921762,0.3957600169393234,554,protein-coding
Zfp830,0.0263850424481018,0.0295877307550884,4.894410973960318e-06,23841,protein-coding
Lig3,0.0420765508677423,0.0475630915150779,2.962490435103294e-06,9646,protein-coding
Rffl,0.0174830107404135,0.0161440758890395,0.0489290631616224,14879,protein-coding
Fndc8,-0.0477124136884493,-0.0354759954623316,0.759372217604952,77,protein-coding
Nle1,0.0087746317074537,0.0128004416367661,0.1643557673402399,11803,protein-coding
Unc45b,0.1448198279316132,0.1059328700087143,3.381329652625752e-28,10746,protein-coding
Slfn5,0.16815215601187,0.1386254020876214,5.53239441379471e-119,27721,protein-coding
Slfn9,0.1924409306568257,0.1922921202244046,1.4396112365934777e-13,1453,protein-coding
Slfn8,-0.0342075586109071,-0.0418043724427468,4.7529441075108144e-05,9461,protein-coding
Slfn2,-0.0236755735241036,-0.0308934942004611,3.6289570443334866e-14,60074,protein-coding
Slfn1,-0.019895721659984,-0.0347452015928874,1.8538988193057295e-05,15180,protein-coding
Slfn4,-0.0339219564841925,-0.0491958581243292,2.0988615747686616e-05,7471,protein-coding
Slfn3,0.1263004072117456,0.1359942736619895,9.83850992059428e-05,815,protein-coding
Pex12,0.0052215005503411,0.005261869535993,0.6453843801084296,7651,protein-coding
Ap2b1,0.0259192561889167,0.0242360818239601,2.563393724684253e-06,37647,protein-coding
Rasl10b,-0.0278462055643107,-0.0338128443745738,0.5656392230019993,291,protein-coding
Gas2l2,0.0096172762667453,0.0555555555555555,0.8212832692417213,19,protein-coding
1700020L24Rik,-0.001911199350875,-0.0044813425172652,0.6530298389010729,10066,protein-coding
Mmp28,0.0940916473225148,0.0797382710116678,0.0042794113667026,1282,protein-coding
Taf15,0.003360441643706,0.0034974247510746,0.5170073282351576,34327,protein-coding
Ccl5,-0.0413433799225951,-0.0503992869556328,2.612075805376789e-16,26376,protein-coding
Ccl9,-0.0038098728100697,-0.0043900287620695,0.4807658881437658,25797,protein-coding
Ccl6,0.0118651227485788,0.0124435028970886,0.0212526800091758,34267,protein-coding
Ccl3,0.097178701145278,0.0959949739573092,4.3071981078943313e-19,8614,protein-coding
Ccl4,0.0798364172620943,0.0734418299421338,1.2289161943338482e-13,10165,protein-coding
Heatr6,0.008360748916642,0.0090557312655663,0.2308628218562968,17507,protein-coding
Hnf1b,-0.1030659939566831,-0.0917293265660387,2.943769443086886e-11,5235,protein-coding
Ddx52,0.0012548757207264,0.0013631715678275,0.8283724842236332,25294,protein-coding
Synrg,0.0162094798240183,0.0162788248866513,0.0746888085860958,11989,protein-coding
Dusp14,-0.0047620189802689,-0.0069420633874233,0.5133846846194923,8866,protein-coding
Tada2a,0.0689195018312087,0.0755204851164421,4.380819572104595e-09,6025,protein-coding
Gm11437,0.0008775702272295,0.0002514457780614,0.9978532142397736,117,protein-coding
Acaca,0.0311816156839611,0.0291201967517416,0.0021270065183923,11126,protein-coding
Aatf,0.0023827171104416,0.0023607260957693,0.7572265409037653,17149,protein-coding
Lhx1,0.0086030939129075,0.0118643312536287,0.6851812682997984,1170,protein-coding
Mrm1,0.0272302127175612,0.0288334632253699,0.0267656070455789,5901,protein-coding
Dhrs11,0.0328296371488443,0.023667678604128,0.0038081934497636,14946,protein-coding
Ggnbp2,0.0308280122024581,0.0304339741391651,2.465597037189927e-13,57838,protein-coding
Pigw,-0.0312578015118314,-0.0241940467248891,0.1625776561477356,3333,protein-coding
Myo19,0.0571434709675199,0.0378084586626523,0.0077564834997982,4958,protein-coding
Znhit3,0.0435762408910302,0.0468651689104378,1.1202583249104768e-10,18922,protein-coding
Car4,0.2808454306392365,0.1703248570526748,1.3756215894210226e-96,14776,protein-coding
Usp32,-0.0204768067875693,-0.0196146953999173,0.0133760929470664,15903,protein-coding
Appbp2,0.0245475320239407,0.0261709356508873,0.0002908297138006,19164,protein-coding
Ppm1d,0.0250127136983337,0.0286592395920876,8.918593069688063e-05,18687,protein-coding
Bcas3,0.0101894053870629,0.0094671899628027,0.3325283180953252,10479,protein-coding
Tbx2,0.0414943085014252,0.0459955745862385,0.0002184512985902,6455,protein-coding
Tbx4,0.0774044163499211,0.0598662672874195,0.3138767235063278,285,protein-coding
Brip1,0.0550773181227644,0.0869662601548302,1.1377974634665437e-07,3707,protein-coding
Ints2,0.0318848749341293,0.0381669316449142,0.000135588991648,9992,protein-coding
Med13,0.0092096123582083,0.008825908953242,0.1495642721059422,26661,protein-coding
Rnft1,0.0107816490111008,0.0102586885691063,0.0799676269764007,29130,protein-coding
Rps6kb1,0.0342082487070393,0.0365236888355095,4.722905514736446e-13,39195,protein-coding
Tubd1,0.0349227668763324,0.0468565043254894,0.0008639630832519,5052,protein-coding
Vmp1,0.0086041577906482,0.0084976157458795,0.045046298913247,55629,protein-coding
Ptrh2,0.0172033254261002,0.02210548126153,0.0010464922192527,21983,protein-coding
