gene,slope_z,r,p,n_cells_expr,biotype
Xkr4,0.0951799628487028,0.1000881200305731,0.3801447239659039,79,protein-coding
Rp1,0.0543734017501069,0.0627977116265371,0.6335989878808961,60,protein-coding
Sox17,0.0613808235812338,0.0436462475188797,1.0490688325442464e-05,10187,protein-coding
Mrpl15,-0.011578259764566,-0.0122990944091223,0.0068426384617271,48349,protein-coding
Lypla1,0.0098926911935478,0.009509366911552,0.0438964836149759,44904,protein-coding
Tcea1,0.0133085091678776,0.0137999527114058,0.0007475528929632,59686,protein-coding
Rgs20,0.0409631407800372,0.0593425029798209,0.0455352886008813,1136,protein-coding
Atp6v1h,0.0289599116699874,0.0290806343935302,1.883988676915368e-06,26845,protein-coding
Npbwr1,-0.0014683812686176,-0.00451840379065,0.9418637843625284,263,protein-coding
Rb1cc1,0.0242073140843545,0.0226636892844611,5.358913441138729e-05,31761,protein-coding
St18,0.1906516230223983,0.12175313170561,1.2345599257942235e-05,1282,protein-coding
Pcmtd1,0.0416002438687152,0.0389545956203062,1.2647091664736901e-15,42125,protein-coding
Sntg1,-0.0027441987441551,-0.0023213016773033,0.9603141278265644,462,protein-coding
Rrs1,0.0139461693109656,0.0176923567189362,0.0013559735812459,32790,protein-coding
Adhfe1,-0.0588395157849831,-0.0720562629740224,3.235826446936068e-09,6733,protein-coding
Mybl1,0.0077231890156524,0.0116763897127958,0.7690131104178899,635,protein-coding
Vcpip1,0.0042260298788892,0.0040296097272231,0.6360994301608109,13790,protein-coding
Sgk3,0.0336763425414581,0.0411922336111708,3.844372157236009e-11,25730,protein-coding
Ppp1r42,-0.0219983782139881,-0.0483793733770555,0.000621424784267,5000,protein-coding
Cops5,0.0037439811018119,0.0040746130030715,0.3910301213144695,44317,protein-coding
Cspp1,0.0298071758508919,0.0278925936186754,0.0008962735142739,14175,protein-coding
Arfgef1,0.0251898557004203,0.0238486745782352,1.0604283503515296e-05,34101,protein-coding
Cpa6,0.0086812318520052,0.0215117952534252,0.7041579749997001,314,protein-coding
Prex2,0.1276663259998524,0.0947522782276576,1.7528008641961556e-18,8535,protein-coding
A830018L16Rik,-0.0337192109012638,-0.0479704687651622,0.6746193886302444,79,protein-coding
Sulf1,0.0172699227236621,0.0180272478774479,0.1481269345370979,6437,protein-coding
Slco5a1,-0.0290760864864826,-0.0407479101701388,0.4307974631472101,376,protein-coding
Prdm14,0.1228108231516962,0.0774105523489619,0.4839897809186849,84,protein-coding
Ncoa2,0.0019220299362514,0.0017094592984603,0.8397171714996498,14001,protein-coding
Tram1,-0.0051905217040092,-0.0053447140723789,0.1315080317865489,79628,protein-coding
Lactb2,-0.0515831757298308,-0.0508762359603406,2.6984925213522112e-08,11930,protein-coding
Xkr9,-0.0509965692293444,-0.0154061830094327,0.7179766576946259,552,protein-coding
Eya1,0.0680689703010778,0.0681293615905024,0.0439304173367594,875,protein-coding
Msc,-0.0711473930771278,-0.0882961504752653,2.257736146196401e-05,2297,protein-coding
Kcnb2,-0.0178572763810936,-0.0199546380982143,0.7674833181180355,222,protein-coding
Terf1,0.0452430220409166,0.0484945615703127,4.609076283953979e-10,16497,protein-coding
4930444P10Rik,0.0440544475532978,0.0721145657295075,0.6948937348522947,32,protein-coding
Rpl7,-0.0628482927505923,-0.0641967435213939,1.3531516883064918e-135,148733,protein-coding
Rdh10,-0.0202218175522542,-0.0178090764839117,0.0667175056854636,10601,protein-coding
Stau2,-0.0121718997915603,-0.0127992563368552,0.4145978640215469,4065,protein-coding
Ube2w,0.0211323900081391,0.02136819405748,0.0001234970023094,32274,protein-coding
Tmem70,0.0142255688175808,0.0149656898181626,0.0075138117026346,31904,protein-coding
Ly96,0.0342132338337949,0.0330907968728816,9.306464303916112e-07,21969,protein-coding
Jph1,-0.0187960598913965,-0.0267414006072571,0.3775489363204779,1091,protein-coding
Gdap1,0.1883194486630408,0.1438223287643527,1.4349599636942364e-05,903,protein-coding
Pi15,0.0061658835590515,0.0070388636776426,0.7243239593421609,2513,protein-coding
Crispld1,0.0393239042124638,0.0331948621874302,0.0488245872669915,3523,protein-coding
Tfap2b,-0.0076828208765383,-0.014787203562734,0.2770615437131714,5405,protein-coding
Pkhd1,-0.0241480408624451,-0.0299392045089443,0.0597777879944769,3954,protein-coding
Il17a,-0.1030189885067652,-0.2053190083672096,0.0676931175858021,80,protein-coding
Il17f,0.0564823453260875,0.058878533920912,0.6158262046731047,75,protein-coding
Mcm3,0.0085456283229489,0.0109703840430436,0.1367406170538337,18400,protein-coding
Paqr8,-0.0343098334624217,-0.023270800415476,0.3597440256953004,1551,protein-coding
Efhc1,0.0433837437624965,0.0358370457308907,0.3184443368377787,777,protein-coding
Tram2,0.0521547732917241,0.0546123798119924,0.1662826660215867,644,protein-coding
Tmem14a,0.0060239293841003,0.0072327126993569,0.5888827579034069,5586,protein-coding
Gsta3,0.022455977862883,0.0187500369477603,0.0351972096242322,12617,protein-coding
Khdc1a,-0.0283652892494016,-0.0552995675184402,0.2841795321913353,377,protein-coding
Khdc1c,-0.0672499506706252,-0.1872393213195476,0.0772043764852267,90,protein-coding
Khdc1b,-0.0585116658545725,-0.9999999999999968,5.713263971524577e-271,40,protein-coding
Kcnq5,-0.007543884896933,-0.0137773948592946,0.6373676176096084,1173,protein-coding
Rims1,-0.0817599039238271,-0.0441438730101681,0.8377169942276563,24,protein-coding
Ogfrl1,-0.0071636162993843,-0.0089086277171195,0.0970121730008658,34702,protein-coding
B3gat2,-0.0170197079057831,-0.02682844713966,0.16522897475668,2677,protein-coding
Smap1,0.0088100317435916,0.0087320165300033,0.034359290648891,58713,protein-coding
Fam135a,0.1223246596360245,0.0907155345710229,7.056144170151049e-18,8982,protein-coding
Col9a1,-0.0207173476083628,-0.0330803503796412,0.7582711131705637,89,protein-coding
Col19a1,-0.0265841009124912,-0.0337134397695018,0.541056793629894,331,protein-coding
Lmbrd1,0.0204945836124312,0.017600080218771,0.0007325023141166,36815,protein-coding
Gm20172,0.0927922926457107,0.0286224719053889,0.7936272448663354,86,protein-coding
Phf3,0.0102740752223436,0.010196132251508,0.0716756598270976,31207,protein-coding
Ptp4a1,0.0115905672023843,0.0095603755539489,0.2113497556718219,17093,protein-coding
Prim2,0.0362448129136489,0.0511659365144833,3.172979005171347e-06,8284,protein-coding
Rab23,0.0025452018793188,0.0027107624984648,0.8300887982214731,6269,protein-coding
Bag2,0.0323549461960274,0.0455518095627266,1.4146394725222937e-06,11201,protein-coding
Zfp451,0.0419541781566424,0.0427976444182273,0.0022000417597685,5116,protein-coding
Gm15455,0.0676740899412666,0.073927325401372,0.1731955650452698,341,protein-coding
Bend6,-0.068006408877234,-0.0654247131454117,0.0414199774856859,972,protein-coding
Dst,0.02170129331945,0.0176664853443624,0.0022847324300455,29813,protein-coding
Ccdc115,0.0080724807973164,0.009427004816894,0.0738273718712577,35962,protein-coding
Imp4,-0.0105501448948331,-0.012172700251474,0.0260249019768317,33436,protein-coding
Ptpn18,-0.0428546582798745,-0.0491884975443589,2.0331871175870799e-41,75021,protein-coding
Cfc1,-0.0191853550561248,-0.0747787930689854,0.6134644618512227,48,protein-coding
Arhgef4,-0.013750149969545,-0.0233691830714501,0.1213330768682229,4396,protein-coding
Fam168b,0.0082450390784661,0.008609739519752,0.1023090519180849,36009,protein-coding
Plekhb2,0.1096290636729123,0.0895677797111612,2.5853245889537644e-49,27056,protein-coding
Hs6st1,-0.0112327982328951,-0.0097967754567165,0.2173132626692614,15860,protein-coding
Uggt1,0.0512197559407214,0.049848874711791,3.795503773791079e-15,24843,protein-coding
Neurl3,-0.0204580215344207,-0.0158081798522158,0.0254284140179923,19986,protein-coding
Arid5a,0.0852514161467629,0.092246630785112,5.080775788813253e-56,29100,protein-coding
Lman2l,0.0107082382194139,0.0114713674509206,0.1768313923791839,13863,protein-coding
Cnnm4,0.1872047181670279,0.1227011804150876,1.515583377422223e-34,9908,protein-coding
Cnnm3,0.0171599389755545,0.015456755267365,0.1456141686270955,8865,protein-coding
Ankrd23,-0.0082458238473642,-0.0088850072388046,0.8114954362918163,723,protein-coding
Ankrd39,0.0083376093578125,0.009846722891191,0.3318033631135447,9716,protein-coding
Sema4c,0.1335837713274082,0.1080259788410174,2.5695592489474265e-29,10767,protein-coding
Fam178b,0.0827710304189782,0.0826721746825807,0.0024564104464931,1340,protein-coding
Cox5b,-0.0198169059350677,-0.0204177752308845,2.60816114599687e-13,128268,protein-coding
Actr1b,0.0472453508166412,0.0432600623946896,1.8217301033480215e-10,21703,protein-coding
Zap70,-0.0134792569334218,-0.0168970739573263,0.1269982518404564,8158,protein-coding
Tmem131,0.0117088226881013,0.0114219688014389,0.0720028081889229,24811,protein-coding
Inpp4a,0.057368207948804,0.0580213387378468,1.391732717341878e-11,13549,protein-coding
Unc50,0.0284952125778551,0.0280233270076451,9.987481500227941e-10,47516,protein-coding
Mgat4a,0.0785425256358154,0.0552009580243181,1.4143880450013291e-08,10543,protein-coding
Tsga10,0.0240194360837685,0.0249754309633775,0.3645738013065916,1320,protein-coding
Lipt1,0.0271132778160977,0.0210852727135574,0.3302667524172779,2134,protein-coding
Mitd1,0.0268945653831521,0.0272031188131632,2.3522632278250708e-05,24156,protein-coding
Mrpl30,-0.0367119252535272,-0.0405098832053192,7.711128156228354e-33,86742,protein-coding
Lyg1,-0.0260839908502837,-0.0580462101748652,0.022861248360054,1537,protein-coding
Txndc9,0.0043741748302147,0.0047284289117309,0.2597989688187238,56797,protein-coding
Eif5b,0.0161130111654847,0.0161766115997028,4.828213125103955e-06,79876,protein-coding
Rev1,0.0615813617976837,0.0684667376025904,3.338444482530832e-12,10320,protein-coding
Aff3,0.0076481586136644,0.0106917061689501,0.2875830550488399,9895,protein-coding
Lonrf2,0.1895980326006492,0.1735410570317371,0.0810999554222067,102,protein-coding
Chst10,-0.0443780021443401,-0.0663776004838307,0.0004120770996186,2828,protein-coding
Pdcl3,0.051528064746214,0.0509337247495908,6.809158498602387e-31,51420,protein-coding
Npas2,0.0017100273420564,0.0011218378320322,0.9468469388134516,3534,protein-coding
Rpl31,-0.0482359607041509,-0.0489442782654112,2.294487379337165e-79,148357,protein-coding
Tbc1d8,0.0304836059834846,0.0342837725969316,0.0001149881782271,12649,protein-coding
Rnf149,-0.0140894621153003,-0.0137108003002904,0.0037126351362897,44785,protein-coding
Creg2,0.0223353541308783,0.0263804498188805,0.4639287624826618,773,protein-coding
Rfx8,0.0930602873215259,0.0245408822252664,0.8536238838300447,59,protein-coding
Map4k4,0.0233550485624267,0.0253129012349159,1.178760503868245e-05,29954,protein-coding
Il1r2,0.0157624419799091,0.0262938775882089,0.002782452497808,12936,protein-coding
Il1r1,0.0958345489632664,0.0859694279168814,1.1762557286491094e-21,12323,protein-coding
Il1rl2,0.0705529265397624,0.0964740072848183,0.0361457606434701,472,protein-coding
Il1rl1,-0.0114655615560726,-0.0149914423343184,0.4866995976503868,2155,protein-coding
Il18r1,-0.025941391756185,-0.0427810430885761,0.0011041523559514,5813,protein-coding
Il18rap,-0.0155368109374579,-0.0267438442988046,0.3731584367078039,1111,protein-coding
Slc9a4,-0.0696945760048856,-0.0979870538673831,0.0095868991529231,698,protein-coding
Slc9a2,0.2805202995183315,0.0799944681036512,0.0116385729167708,994,protein-coding
Mfsd9,-0.0259823797463002,-0.0139771837231792,0.472175719836769,2648,protein-coding
Tmem182,0.0702835771728821,0.0579255804562043,0.4373198051299557,182,protein-coding
Pou3f3,-0.0176910989062723,-0.0319949220193694,0.1042790214079267,2579,protein-coding
Mrps9,-0.007295554023855,-0.0084812077090189,0.1292631405250607,31995,protein-coding
Gpr45,-0.2866053069460588,-0.3103282519600798,0.0380149510581901,45,protein-coding
Tgfbrap1,0.0407574969725595,0.0336896411179226,0.0009048314240111,9700,protein-coding
AI597479,0.0219508985038522,0.0232028778300536,0.071648540034067,6028,protein-coding
Fhl2,-0.0201835878652401,-0.0223161450981549,0.0531484316251534,7509,protein-coding
Nck2,0.0018025358996842,0.0011106808518681,0.9399618746228232,4601,protein-coding
Uxs1,0.0206012637435679,0.0131455967330231,0.6486193445802066,1204,protein-coding
Tpp2,0.0347272660333051,0.0362704603448922,3.2394296289233323e-08,23216,protein-coding
Bivm,0.0209490487883826,0.020951237305682,0.1619213271174739,4458,protein-coding
Ercc5,0.0334821709410847,0.0331645856802153,0.0009352399774172,9954,protein-coding
Gulp1,0.0693236638088652,0.0597668686581533,6.52552241911296e-06,5683,protein-coding
Col3a1,-0.003286878272847,-0.003378059054967,0.6129078181398349,22433,protein-coding
Col5a2,0.0224145329063554,0.0245010578878034,0.0019411054677013,15997,protein-coding
Wdr75,0.0301008871410125,0.0361928028282819,3.635928381652873e-05,13012,protein-coding
Slc40a1,0.2843749975633914,0.2028013712794155,7.454371475126274e-151,16298,protein-coding
Slc39a10,0.1040006871332066,0.1084553304034212,3.4347096134015495e-30,11019,protein-coding
Tmeff2,-0.018856293666188,-0.0213836111170023,0.1056153145178092,5728,protein-coding
Myo1b,0.0702553467765089,0.0468072262022811,5.670348062961807e-06,9393,protein-coding
Stat4,0.0156555784979577,0.0241840350074703,0.0684500785790184,5677,protein-coding
Stat1,0.0364698181689526,0.035927818994184,1.2885681051674734e-09,28517,protein-coding
Gls,0.0285461093782657,0.0282519758733963,3.2351292916769186e-08,38276,protein-coding
Nab1,0.0048990145910761,0.0050817499615125,0.3097349542478088,39957,protein-coding
Mfsd6,0.0397405823818695,0.0348246381714885,7.246933016537161e-07,20232,protein-coding
Inpp1,0.0498649331319246,0.0523650628054478,1.695059241403113e-07,9964,protein-coding
Hibch,0.0099334217350336,0.0117494110384577,0.1275275763866867,16824,protein-coding
1700019D03Rik,0.037499857498148,0.0410150383289853,0.040306973957953,2500,protein-coding
Mstn,0.0132310110264551,0.0163827733603812,0.8444024029403496,146,protein-coding
Pms1,0.0428506070803634,0.0531976990027171,0.0122194715740557,2218,protein-coding
Ormdl1,-0.0173858105984847,-0.0212620930734517,0.0028145125520751,19738,protein-coding
Osgepl1,0.014767149055027,0.0168333918270672,0.1463046855228313,7449,protein-coding
Asnsd1,-0.0407899288555641,-0.0512449934244832,6.504633629272561e-31,50831,protein-coding
Stk17b,-0.0192513359274653,-0.0194506148723834,7.56084820132749e-06,52978,protein-coding
Hecw2,0.0706360700086209,0.0542081268133656,0.0011608892482446,3588,protein-coding
Ccdc150,0.0477201031521177,0.0556256435862194,0.6308707680852199,77,protein-coding
Gtf3c3,-0.0056575929776891,-0.0054140219236599,0.7107614883331971,4694,protein-coding
Pgap1,-0.0305750197133862,-0.028491317907264,0.0048545250509457,9771,protein-coding
Ankrd44,-0.0133801463293415,-0.0152379196934347,0.0248181756620282,21691,protein-coding
Sf3b1,0.0184406208651769,0.0184381875907269,1.8319816005280965e-08,93128,protein-coding
Coq10b,0.0396919584718901,0.0388487574468748,1.0025649205081737e-15,42658,protein-coding
Hspd1,-0.0164104176613309,-0.0179075894321962,1.5588228422997049e-06,71944,protein-coding
Hspe1,-0.0421310709513283,-0.0468148425044681,8.77785857460166e-53,106571,protein-coding
Mob4,0.0317273394343565,0.0316300492842758,2.475249637817744e-13,53537,protein-coding
Rftn2,-0.0141570458457881,-0.0138331125565826,0.3605941470404995,4370,protein-coding
Mars2,0.0111942347999458,0.0139966508589323,0.3761009266440668,4001,protein-coding
Boll,0.0160212721705511,0.0245688593046593,0.8161735677906591,92,protein-coding
Plcl1,-0.0046146266548884,-0.0058380508716029,0.7333730755301893,3407,protein-coding
Satb2,0.0040822399743564,0.0019462094640495,0.9359772549882296,1706,protein-coding
1700066M21Rik,0.0242572564455757,0.0223036202272693,0.1633128230851345,3908,protein-coding
Spats2l,0.0431296185440614,0.0453227076262319,0.0001243259779414,7164,protein-coding
Kctd18,0.0378136056845875,0.0377546047604715,0.0013102390767918,7243,protein-coding
Aox1,0.0376790072056259,0.0249930793149605,0.2068014492716057,2553,protein-coding
Aox3,0.0345599803241651,0.0256034785707194,0.166758109482272,2918,protein-coding
Aox4,0.0248111770284318,0.0439793101322474,0.0345075548685708,2311,protein-coding
Bzw1,0.0050662428320334,0.0053555037856818,0.1605943567959868,68639,protein-coding
Clk1,0.0525976243158212,0.050678735330427,4.359043273180985e-38,64737,protein-coding
Ppil3,-0.0046365985990382,-0.0058788875744289,0.3356070194186773,26828,protein-coding
Nif3l1,0.0447448773099787,0.0465915029542598,2.38871344719676e-06,10243,protein-coding
Orc2,0.0235007076476242,0.0284679669353701,0.0005739908997071,14629,protein-coding
Ndufb3,-0.0264290200995225,-0.0284057564824646,3.492032241636284e-17,88015,protein-coding
Cflar,0.0431297101892858,0.0393108057400389,1.4420195797615986e-13,35338,protein-coding
Casp8,0.0539164691639005,0.0479158992685962,2.5890263270246322e-20,37104,protein-coding
Trak2,-0.0247505263253141,-0.0233152080182113,0.0013556872606835,18881,protein-coding
Stradb,-0.0452312684642941,-0.0410894469158873,2.300799897089087e-05,10609,protein-coding
Mpp4,0.0795494521043442,0.0821120778835634,0.197486125268517,248,protein-coding
Als2,0.0054429934684946,0.0042543970013928,0.8192004703497685,2889,protein-coding
Cdk15,0.0189118964418125,0.018520948809073,0.7619323214056679,270,protein-coding
Fzd7,0.0206956659709714,0.0216922987652309,0.1012127210311232,5710,protein-coding
Gm973,-0.0064548740537019,-0.0119994937445462,0.6469764294125646,1459,protein-coding
Sumo1,0.0153256597902649,0.0160484356092956,3.341115874332029e-07,101102,protein-coding
Nop58,0.038387504138533,0.041175600194542,1.0442313225598861e-18,45954,protein-coding
Bmpr2,0.0346241656422126,0.0291823290924184,0.038662918015162,5021,protein-coding
Fam117b,0.0430090346955858,0.0437007039919599,1.4521288609706236e-10,21499,protein-coding
Ica1l,0.0896090133083254,0.0784764921326577,0.0971252668781441,448,protein-coding
Wdr12,0.0026696391159649,0.0034691081273237,0.6390660105648014,18280,protein-coding
Carf,0.0165772917375375,0.021879785745518,0.5970927475238321,586,protein-coding
Nbeal1,0.0589901096476456,0.0450726007411761,5.892077322560604e-10,18864,protein-coding
Cyp20a1,0.0141816942629714,0.0106106239832035,0.707825991243081,1250,protein-coding
Abi2,0.0458625384131371,0.0494836951477541,6.33522813708136e-06,8317,protein-coding
Raph1,0.0690320663199448,0.0552749394606368,2.2401616689139064e-15,20539,protein-coding
Cd28,-0.019551598488282,-0.0339012647371453,0.0005817049814038,10293,protein-coding
Ctla4,-0.0438884588277724,-0.0673728686443384,0.0003183751652935,2851,protein-coding
Icos,-0.0605853198752429,-0.0720782244390623,3.2624925147664744e-06,4160,protein-coding
Pard3b,0.023951431104577,0.0221214679398441,0.0513253732851161,7761,protein-coding
Nrp2,0.1324886506292571,0.1129930739060603,8.345337149871571e-34,11433,protein-coding
Ino80d,0.0416021140505018,0.0411209448996993,2.1469067000938423e-10,23832,protein-coding
Ndufs1,-0.0015855482362959,-0.0015783697355624,0.7819108317682151,30764,protein-coding
Eef1b2,-0.0806066117332743,-0.0857552259669064,3.857211611878765e-215,132783,protein-coding
Zdbf2,0.1326344089626818,0.0835951986417107,0.0005971547258765,1683,protein-coding
Adam23,-0.0007916622282998,-0.000768985853507,0.959673439335426,4326,protein-coding
Mdh1b,-0.0083106926341488,-0.014329205458774,0.9246996047306542,46,protein-coding
Fastkd2,0.0294239914340434,0.0342735470609461,0.001623915947591,8453,protein-coding
Klf7,0.1131047221297514,0.1058983865451441,7.437010745024515e-47,18325,protein-coding
Creb1,0.0250094514113048,0.0261308478252351,1.6556012737737882e-05,27159,protein-coding
Mettl21a,0.0036605173085699,0.0036050003205716,0.7388395100449664,8555,protein-coding
Ccnyl1,0.0842445363471732,0.0736895925473273,5.924690867193203e-10,7045,protein-coding
Fzd5,0.0282928943763377,0.0192179387554283,0.1136403340622336,6778,protein-coding
Plekhm3,-0.0403561675990025,-0.0418415716720268,1.9581729968483688e-05,10406,protein-coding
Akr1cl,-0.0165102508678079,-0.0179287527920452,0.85734824316773,103,protein-coding
Cryga,0.0233034589689205,0.0353229635795018,0.7053621885919619,117,protein-coding
D630023F18Rik,-0.0099292321960976,-0.0157747790646584,0.5339462968177615,1557,protein-coding
Idh1,-0.0310523261108145,-0.0304160504590387,1.5440875202724004e-09,39414,protein-coding
Pikfyve,0.0252759137201195,0.0238416462019532,0.0114651538937527,11244,protein-coding
Unc80,0.2368881782913781,0.1415704026250047,4.9054102535251905e-11,2137,protein-coding
Rpe,-0.006463882622725,-0.0077785073975191,0.1833319902242292,29262,protein-coding
Acadl,0.0109078468997022,0.0109877333472147,0.0130139333680854,51082,protein-coding
Myl1,-0.0929047749396118,-0.0975486570031742,1.4140249521924056e-05,1974,protein-coding
Lancl1,0.0395463951851842,0.049968187956339,9.67256685940526e-14,22176,protein-coding
Cps1,-0.0767936044970051,-0.0369556770193174,0.3806058534160093,565,protein-coding
Erbb4,-0.0718892014510541,-0.1414310830774316,0.1112884069912156,128,protein-coding
Ikzf2,-0.0813619840788345,-0.0703695142695991,8.547059795158187e-14,11218,protein-coding
Bard1,0.0260646871465448,0.0453591681152953,0.0016964993967198,4786,protein-coding
Abca12,0.5853224556636218,0.2523032437851977,6.082278968551609e-17,1066,protein-coding
Atic,-0.0095809087440505,-0.0117417881147036,0.0666956757921484,24390,protein-coding
Fn1,0.0005568620581079,0.0005783325209051,0.9199228231812612,30219,protein-coding
Mreg,0.0075452640796564,0.0086764202704064,0.3539293421728893,11417,protein-coding
Pecr,-0.0359710313997885,-0.0397767222307841,8.993309959171532e-07,15243,protein-coding
Tmem169,-0.0152846730838868,-0.0224680198646808,0.6330254818037468,454,protein-coding
Xrcc5,0.0041484897735871,0.0049160638979313,0.5849391777686027,12346,protein-coding
Smarcal1,0.0591196224020906,0.0665905675069761,6.2344663992631644e-09,7599,protein-coding
Rpl37a,-0.0492357209272918,-0.0493016754445984,4.6602838155324554e-82,151292,protein-coding
Igfbp2,-0.0757230768343977,-0.0736898648684776,2.6273910825905384e-15,11486,protein-coding
Igfbp5,0.0415702887041176,0.0485538562334168,9.909904168666303e-11,17729,protein-coding
Tns1,0.0331871130691344,0.0310576421747925,4.0866666788189844e-08,31201,protein-coding
Rufy4,-0.0408752509650837,-0.0734508746418081,0.0201191742038243,1001,protein-coding
Cxcr2,0.0002446849758658,0.0004457140149346,0.9654608091554568,9441,protein-coding
Cxcr1,-0.0869015974691486,-0.1299527057114306,0.0051011660243489,463,protein-coding
Arpc2,-0.0357854403386495,-0.0366487948546198,1.7729698190203692e-40,132008,protein-coding
Gpbar1,-0.0458158023271789,-0.0499790076041534,0.6767335993439119,72,protein-coding
Aamp,0.0355581788452769,0.0340090845565689,7.467867448596407e-19,67951,protein-coding
Pnkd,0.0377666870532334,0.036596822017127,6.833155237598104e-17,52024,protein-coding
Tmbim1,0.074019654577542,0.0610372587212078,1.0543767968265491e-27,31881,protein-coding
Slc11a1,0.10139178741789,0.0861585782510241,1.1781192385269896e-19,11046,protein-coding
Ctdsp1,0.0272002256704689,0.0274643851915157,3.3171833448129116e-10,52321,protein-coding
Vil1,0.6234184830305066,0.3016761883694796,3.490902906590953e-120,5697,protein-coding
Usp37,0.03558650372903,0.0412848752585942,1.0755900208431342e-06,13947,protein-coding
Plcd4,-0.0536315373879787,-0.0598823748614925,0.4325039594489247,174,protein-coding
Zfp142,0.0523325322500664,0.0572414696279557,5.30470241440164e-05,4980,protein-coding
Bcs1l,0.0224652298719439,0.0267554131497502,0.0103174549149727,9190,protein-coding
Rnf25,0.0275004319624813,0.025763303723467,0.0033128808634497,12995,protein-coding
Stk36,0.028820412323416,0.0293370840150693,0.474323745118499,597,protein-coding
Ttll4,0.0245606075275775,0.0249093564704885,0.3475778270322578,1424,protein-coding
Cyp27a1,0.0298608292161564,0.0237920318679485,0.008496416923661,12234,protein-coding
Prkag3,-0.0048599756314945,-0.0089707401850662,0.8335898628286142,551,protein-coding
Wnt6,0.0053341811029481,0.0078151115178969,0.6580948761932404,3209,protein-coding
Wnt10a,0.0073036944624805,0.0135241214016581,0.2139532186950067,8446,protein-coding
Cdk5r2,0.0973494433500359,0.0770832646694305,0.1125593782525605,425,protein-coding
Fev,0.0231826811788468,0.0330874914880695,0.5572442905573627,317,protein-coding
Cryba2,0.1189359977228407,0.0901022070040885,0.0012620007286237,1278,protein-coding
Ihh,0.058539991675171,0.0257747935708774,0.2613354729906761,1901,protein-coding
Nhej1,-0.000165417263455,-0.0002249859042693,0.9848424417977856,7133,protein-coding
Slc23a3,0.0071661832135895,0.0085296534736261,0.7121227564164677,1874,protein-coding
Zfand2b,-0.0126976788528076,-0.0134975366375495,0.0099754226691009,36442,protein-coding
Abcb6,0.0292919097099823,0.0196865154540349,0.0623485987526757,8964,protein-coding
Atg9a,0.0226496264240929,0.0198089480399305,0.0084851693403414,17655,protein-coding
Ankzf1,0.0136687383500861,0.0126163591462863,0.230257041290528,9044,protein-coding
Glb1l,-0.0096288717343397,-0.0103902468686368,0.4691867049505915,4855,protein-coding
Stk16,-0.0060828195744328,-0.0062097133704935,0.184500155021056,45670,protein-coding
Tuba4a,-0.0743377748530477,-0.0867738377513967,1.4403672091762033e-108,64830,protein-coding
A630095N17Rik,0.0154806619733932,0.0361279470987929,0.7353185630993586,90,protein-coding
Dnajb2,-0.0104632428988783,-0.0100306785872657,0.1170711058795783,24412,protein-coding
Ptprn,0.2220023353274624,0.1432302250508098,8.174512125711288e-16,3130,protein-coding
Resp18,-0.1349257548893845,-0.0841387635501624,3.570265504389585e-07,3650,protein-coding
Dnpep,0.0451515946469476,0.0427038724086429,1.4282025767914136e-16,37403,protein-coding
Des,-0.1280700674362849,-0.1383582750416347,8.027176519789862e-26,5714,protein-coding
Speg,-0.0481732099442314,-0.0537728497435604,0.0337530445016442,1559,protein-coding
Gmppa,0.0495454324495369,0.0474915117646704,5.202856736528135e-13,23088,protein-coding
Chpf,0.0292791023656138,0.028931127703931,0.0007727264539023,13504,protein-coding
Tmem198,0.0346984894140624,0.0270726602169779,0.3893738985827611,1013,protein-coding
Obsl1,0.0354012791906385,0.0408983520602259,0.1141931386887945,1493,protein-coding
Inha,0.246333200823179,0.1927721328636434,9.726243153202457e-14,1466,protein-coding
Stk11ip,0.0196734201119308,0.0198563439861053,0.1645257816170607,4902,protein-coding
Slc4a3,0.0321757018716327,0.0329088030914676,0.0676986375054125,3083,protein-coding
Epha4,0.1131212380428163,0.115385524781071,3.4392361992701397e-22,7003,protein-coding
Pax3,-0.0080788646004546,-0.0124166137050313,0.9296841869847732,53,protein-coding
Sgpp2,-0.1141644477028299,-0.0574883923578965,0.0019126041350641,2912,protein-coding
Farsb,0.0214099224843469,0.0259689683838945,1.4871463974201909e-05,27802,protein-coding
Mogat1,-0.0902556518502127,-0.1286921161563591,1.1319977833676376e-09,2223,protein-coding
Acsl3,0.2425120281275485,0.1682786950356865,1.8904238868243298e-92,14481,protein-coding
Utp14b,0.1329001300367863,0.0800204522832084,2.7501078500376853e-08,4809,protein-coding
Kcne4,-0.0306826548115486,-0.0296153690663515,0.1402103024234942,2482,protein-coding
Scg2,0.0758587176694638,0.0488447832531715,0.0032312874849624,3633,protein-coding
Ap1s3,-0.0299941838652912,-0.0306346755135398,0.0019220135851134,10251,protein-coding
Wdfy1,0.0094915236132575,0.0082358334910536,0.311136331394339,15126,protein-coding
Mrpl44,0.0054716272303298,0.0060669745251991,0.3280897627954543,25986,protein-coding
Serpine2,0.0811882086097725,0.0901840995856657,2.682483567544775e-32,17144,protein-coding
Fam124b,0.0791611272932562,0.0658417025593256,0.0442511441773928,934,protein-coding
Cul3,0.0025646017746621,0.0025530733559819,0.6578047410393896,30103,protein-coding
Dock10,0.0046853874543934,0.0057473872878511,0.3978490640789454,21642,protein-coding
Irs1,0.011047820738796,0.0100634613325741,0.5346657620741984,3809,protein-coding
