NAME,NES,pvalue,FDR
GOBP_GOLGI_VESICLE_TRANSPORT,-3.8132927,0.0,0.0
GOBP_REGULATION_OF_DNA_REPAIR,-3.3074217,0.0,0.0
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,-3.2772875,0.0,0.0
GOBP_MACROAUTOPHAGY,-3.2393203,0.0,0.0
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,-3.2182596,0.0,0.0
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT,-3.030768,0.0,0.00022844186
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS,-3.011736,0.0,0.00029439921
GOBP_DOUBLE_STRAND_BREAK_REPAIR,-2.9729817,0.0,0.00035856976
GOBP_VACUOLE_ORGANIZATION,-2.9711626,0.0,0.00034860946
GOBP_VESICLE_LOCALIZATION,-2.9207191,0.0,0.00042121884
GOBP_POSITIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,-2.8606513,0.0,0.00057265034
GOBP_VACUOLAR_TRANSPORT,-2.8508415,0.0,0.00055992475
GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,-2.8432107,0.0,0.00060901453
GOBP_TRNA_METABOLIC_PROCESS,-2.7988026,0.0,0.0008597209
GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY,-2.7980008,0.0,0.0008434998
GOBP_VESICLE_ORGANIZATION,-2.7712913,0.0,0.0010217378
GOBP_REGULATION_OF_MACROAUTOPHAGY,-2.7562556,0.0,0.0011238251
GOBP_VESICLE_TARGETING,-2.7447307,0.0,0.0010870582
GOBP_ENDOSOMAL_TRANSPORT,-2.7211025,0.0,0.0011995846
GOBP_VESICLE_COATING,-2.7142007,0.0,0.0012170707
GOBP_ENDOSOME_ORGANIZATION,-2.6975377,0.0,0.0013217378
GOBP_RECOMBINATIONAL_REPAIR,-2.6755102,0.0,0.0014605146
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,-2.6461875,0.0,0.0019043237
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,-2.6433487,0.0,0.001884073
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,-2.6352928,0.0,0.0019528226
GOBP_AUTOPHAGOSOME_ORGANIZATION,-2.5758271,0.0,0.0029415009
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION,-2.5555186,0.0,0.0032365934
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY,-2.5549927,0.0,0.003201791
GOBP_ORGANELLE_DISASSEMBLY,-2.5421166,0.0019569471,0.0034341686
GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,-2.539234,0.0,0.003481775
GOBP_POSITIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,-2.5365243,0.0,0.003504771
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,-2.531914,0.0,0.003562817
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,-2.5269086,0.0,0.0036172708
GOBP_PROTEIN_LOCALIZATION_TO_VACUOLE,-2.4989522,0.0,0.004298429
GOBP_CHROMOSOME_SEGREGATION,-2.4901955,0.002008032,0.004349002
GOBP_MEMBRANE_FISSION,-2.4709673,0.0,0.004774655
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,-2.4685643,0.0,0.0048559243
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,-2.4504,0.0,0.0055159805
GOBP_VIRAL_PROCESS,-2.4485633,0.0,0.0055684727
GOBP_NUCLEAR_MEMBRANE_ORGANIZATION,-2.445276,0.0020703934,0.0055614123
GOBP_TRNA_PROCESSING,-2.4398746,0.0,0.005672658
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR,-2.425301,0.0,0.006213037
GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE,-2.421089,0.0,0.006314061
GOBP_COPII_COATED_VESICLE_BUDDING,-2.4130392,0.0020533882,0.006659183
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,-2.4016762,0.0,0.006959121
GOBP_NUCLEAR_ENVELOPE_ORGANIZATION,-2.375897,0.0,0.008024177
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,-2.374725,0.0,0.0080511635
GOBP_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM,-2.3729954,0.0,0.008077416
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION,-2.36857,0.0,0.008205835
GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS,-2.3650072,0.0,0.008306895
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS,-2.3495734,0.0,0.008930299
GOBP_VESICLE_BUDDING_FROM_MEMBRANE,-2.340516,0.002096436,0.009463597
GOBP_SISTER_CHROMATID_SEGREGATION,-2.338523,0.0,0.009616288
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,-2.3347113,0.0,0.009704852
GOBP_MICROTUBULE_NUCLEATION,-2.333494,0.0,0.009717285
GOBP_LYSOSOMAL_TRANSPORT,-2.327333,0.0021551724,0.010037681
GOBP_DNA_REPLICATION,-2.3245707,0.0020618557,0.010049173
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,-2.3190472,0.0,0.010338058
GOBP_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI,-2.3178682,0.002074689,0.010292137
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,-2.3152478,0.0019723866,0.0103677185
GOBP_TELOMERE_MAINTENANCE_IN_RESPONSE_TO_DNA_DAMAGE,-2.3084614,0.0019455253,0.01079292
GOBP_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY,-2.302347,0.0,0.011092296
GOBP_CELLULAR_COMPONENT_DISASSEMBLY,-2.2918081,0.0019723866,0.011536119
