__mclCluster,EnrichmentMap::-log10(pvalue) (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::-log10(pvalue)*sign(NES) (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::ES (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::fdr_qvalue (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::fwer_qvalue (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::pvalue (mouse_r_protein_coding_classic.GseaPreranked),name,selected,shared name
78,2.74472749489669,2.74472749489669,2.74472749489669,1,0.21099999999999999,6.4999999999999997E-3,0.51,BCL2|GSK3B|CSF2|ZMYND11|BMP4|IGF1|LGALS3|NRP1|RPS6KB1|SERPINE1|EYA1|FGF10|EYA3|EYA4|PARK7|SNAI2|UNC5B|GPX1|CTNNA1|GCLC|GCLM|ACVR1|AR|GSTP1|HSPA1B|SRC|DAB2|GSTP2|HTT|RAF1|RIPK1|PHIP|MAP2K5|TNF|TGFBR1|IL7|PEA15A|FGG|RB1CC1|PSME3|BRCA1|FYN|GAS1|TCF7L2|CTTN|ITGA6|RNF34|IL4|AGAP2|PRDX2|ICAM1|CFLAR|RFFL|GDNF|SGK3|EYA2|NOL3|CX3CL1|MAPK7|STRADB|ITGAV|SIAH2|NRG1|SH3RF1|HGF|HMGB2|TNFAIP3|BIRC6|DDX3X|RELA|TMBIM1|COL2A1|KLF4|SFRP2|LMNA|TNFSF4|FGA|FGB|GRINA|HMOX1|SCG2|FAIM|GATA1|MCL1|YAP1|BCL2L1|VEGFA|FAIM2|ITPRIP|IL1B|TNFRSF22|TNFRSF4|TNFRSF23|PELI3,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,94,ENR,GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,2.4117999999999999,0,GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,FALSE,GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
53,2.74472749489669,2.74472749489669,2.74472749489669,1,0.13980000000000001,8.0000000000000004E-4,2.4E-2,MAD2L2|ADAMTS14|DPT|LOXL1|LOXL4|ITGA8|MMP11|LAMB2|P4HA3|SEMA5A|SMOC2|MMP12|B4GALT1|VWA1|NFKB2|GPM6B|IMPG2|BMP2|APBB1|APBB2|ELF3|IHH|MKX|TGFBR1|EXT1|GREM1|COL14A1|IER3IP1|COMP|MMP14|COL24A1|DAG1|MIA3|MMP28|TEX14|PTX3|PLG|SMARCA4|COL2A1|TNFRSF1B|ABL1|MMP23|MMP27|FLRT2|GAS2|CRISPLD2|MMP19|ANTXR2|ELN|FSCN1|NPNT|ABI3BP|CCDC80|COL16A1|AEBP1|COL8A1|ANGPTL7|TGFB1|WNT3A|DDR1|ECM2|EGFL6|EGFLAM|PTK2|AGT|ADAMTS16|BCL3|MATN2|SMPD3|COL1A2|CTSS|FOXF2|SMOC1|SPOCK2|SULF1|POSTN|SULF2|ADAMTS15|VIT|WT1|ANXA2|ATP7A|CPB2|FKTN|COL6A1|HPN|CAV2|2300002M23RIK|ADAMTS10|ADAMTS17|CAV1|ADAMTS8|ADAMTSL1|COL15A1|COL11A2|COL22A1|SERAC1|COL23A1|MMP25|TCF15|COL28A1|NPHS1|COL6A5|COL6A6|COL7A1|SERPINF2|COL4A5|COL9A2|MFAP4|COL9A3|EFEMP2|GFOD2|OLFML2A|ADAMTSL2|COL18A1|LAMA1|OLFML2B|LAMA2|PAPLN|NEPN|SCARA3|LAMB1|LAMC1|MYF5|CYP1B1|MYO1E|ITGB1|NID1|GFAP|ITGB3|FKBP10|RAMP2|CTSG|RECK|TMEM38B|LAMB3|QSOX1|FBLN5|NF1|CYP2J6|ANTXR1|SERPINB5|PBXIP1|PXDN|MPV17|LTBP4|CST3|ETS1|NTN4|KLK5|MMP9|CHADL|VTN|LEMD3|LGALS3|SCX|KIF9|ADAMTS7|NOXO1|RB1|MMP7|SH3PXD2B|NOTCH1|TGFBR3|MEGF9|THSD4|COLQ|ADAMTS19|COL17A1|VHL|DNAJB6|POMGNT1|SMAD3|HMCN1|POMT2|HSD17B12|TNF|MARCO|COL13A1|CLASP1|CLASP2|MATN3|OPTC|TGFBI|PHLDB1|PHLDB2|TGFB2|ITIH1|PDPN|CFLAR|CSGALNACT1|SLC2A10|APLP2|MATN4|HSPG2|PPARG|MYH11|ACAN|ADAMTS18|PDGFRA|COL27A1|SERPINH1|IDUA|SMAD4|COL3A1|SOX9|SPINT2|ERCC2|FN1|DDR2|TNR|VPS33B|TNFRSF1A|TNXB|MMP8|ADAMTS2|FGFR4|ADAMTS1|ADAMTS6|COL5A1|COL5A2|COL19A1|PMP22|LOXL2|PLOD1|LCP1|CRTAP|COL4A1|MPZL3|ATXN1L|COL4A3|COL4A4|DPP4|ADAMTS20|ADAMTS9|COL4A6|ADAMTSL4|COL11A1|FAP|TIE1|MMP13|MMP24|ADAMTS4|ADAMTS5|APLP1|P4HA1|AXIN2|MMP17|ADAMTS3|PLOD2|NPHP3|PLOD3|PRDX4|COL8A2|MMP16|FBLN1|FERMT1|SLC39A8|TFAP2A|COL1A1|HAS1|POMT1|HAS3|TNFRSF11B|EMILIN1|APP|MMP3|KAZALD1|SPINT1|ENG|ABL2|LOX|GAS6|MMP2|HAS2|PRICKLE1|FOXC1|MMP15|FKRP|FLOT1|IL6|PRDM5|COL4A2|TFIP11|SFRP2|CREB3L1|COL5A3|CMA1|EXOC8|WDR72|ADAMTS12|FOXC2|LOXL3,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_EXTRACELLULAR_STRUCTURE_ORGANIZATION,293,ENR,GOBP_EXTRACELLULAR_STRUCTURE_ORGANIZATION,2.8546,0,GOBP_EXTRACELLULAR_STRUCTURE_ORGANIZATION,FALSE,GOBP_EXTRACELLULAR_STRUCTURE_ORGANIZATION
,1.9281179926938701,1.9281179926938701,1.9281179926938701,0.98819999999999997,0.23710000000000001,7.17E-2,1,GSK3B|CD36|FOXO3|IGF1|CACNA2D1|CACNB1|LRP1|VCAM1|ICAM1|APP|TREM2|CALCR|FPR2|NGFR|LGMN|GJA1|BACE1|TLR6|PRNP|PSEN1|MMP2|TLR4|AGER|RAMP3|PARP1|EPHB2|SYK|EPHA4|ABCC1|FCGR2B|ADRB2|TNF|SIRT1|BCL2L2|SNX6|CDK5|ATP1A3|FYN|MMP9|ITGA4|CACNA1A|IGF1R,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_RESPONSE_TO_AMYLOID_BETA,42,ENR,GOBP_RESPONSE_TO_AMYLOID_BETA,1.8305,1.18E-2,GOBP_RESPONSE_TO_AMYLOID_BETA,FALSE,GOBP_RESPONSE_TO_AMYLOID_BETA
49,1.59687947882418,1.59687947882418,1.59687947882418,0.97470000000000001,0.36359999999999998,9.6699999999999994E-2,1,DMBT1|GINS4|GINS1|SBDS|BRD4|BRCA2|NDEL1|NCAPG2|INTS1|PELO|PALB2|TAF8|CHEK1|SALL4|SETDB1|COPS2,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_INNER_CELL_MASS_CELL_PROLIFERATION,16,ENR,GOBP_INNER_CELL_MASS_CELL_PROLIFERATION,1.7410000000000001,2.53E-2,GOBP_INNER_CELL_MASS_CELL_PROLIFERATION,FALSE,GOBP_INNER_CELL_MASS_CELL_PROLIFERATION
83,2.4089353929735,2.4089353929735,2.4089353929735,0.99609999999999999,0.4466,2.23E-2,0.98699999999999999,CEACAM1|GP5|SERPINE2|ALOX12|PRKCD|TMX1|APOE|C1QTNF1|ADAMTS18|PDGFRA|UBASH3B|PDGFA|PDGFB|CD9|PRKG1|SH2B3,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION,16,ENR,GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION,2.1454,3.8999999999999998E-3,GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION,FALSE,GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION
5,2.3979400086720402,2.3979400086720402,2.3979400086720402,0.996,0.1348,9.1000000000000004E-3,0.71099999999999997,ATG4B|HES5|ABR|ITGA8|ADAM10|SIX2|FGF10|GLI3|IFI204|GJB6|SLITRK6|FGF3|RBPJ|ALDH1A3|RPL38|USH2A|BMP2|BMP5|MAFB|HOXA2|ATP8A2|TBX1|KCNMA1|MAPK1|RDH10|ALMS1|USH1C|DLX5|DVL3|CEBPD|GJB2|JAG2|ECE1|BCL2L11|KCNK3|MCOLN3|CDH23|SCRIB|HEY2|PAFAH1B1|SDC4|H2-T10|ANP32B|COL2A1|ROR2|USH1G|SPARC|CELSR1|CECR2|NTN1|ROR1|ATG5|BCL2|GRHL3|BMP4|PI4KB|SLC4A7|MYO3B|NFIX|TGFB1|WNT3A|DDR1|ZEB1|FZD6|PRRX1|SOD1|C1QB|TRIOBP|PRRX2|EDNRA|TBX2|TSHZ1|TBX3|BDNF|LRP10|TIFAB|PTPN11|HPN|IFT20|IFT88|SHROOM2|CEBPA|ATP8B1|GSC|STRA6|TCF15|ANKRD24|TPRN|WDR19|BCR|HPCA|CTHRC1|CHRNA9|MSX1|NAGLU|NIPBL|OSR2|WNT1|FZD2|RPGRIP1L|SIX1|CXCL14|KCNK2|TBX18|MYC|MYO6|GATA3|GATA2|SOBP|TRIP11|DVL1|H2-DMA|KCNQ1|CCNA2|H2-T23|MPV17|PSAP|EDN1|OSR1|FGFR3|MYO7A|EYA1|NOTCH1|EYA4|GLI2|DLL1|ATOH1|SLC17A8|FOXI1|LRIG3|STOX1|TMIE|TTC39C|FRZB|INSIG1|INSIG2|ESRP1|CCM2|HMX2|TGFB2|TSHR|ELMOD3|LIN7A|SHH|NR4A3|CYTL1|CHD7|MKS1|CDH1|DVL2|CDKN1B|BLVRA|DICER1|FGFR1|GFI1|PROX1|ENPP1|SIX4|SLC44A4|ESRRB|TCAP|SOX9|PAX8|IGFBP7|GABRB3|IGF1|HESX1|VANGL2|MCM2|BMPER|MAPK3|CEP290|CLIC5|LRIG1|COL11A1|CUX1|GABRB2|CYS1|EPHB2|DCHS1|TSKU|EPHA4|FGFR2|FREM2|LHFPL5|PCDH15|HOXA1|HES1|HEY1|NEUROD1|REST|IFT27|PDZD7|PLS1|KIF3A|LGR5|OTX1|MAF|GAS1|H2-K1|NOG|WHRN|SOX2|OCM|MAPKAPK2|PTK7|TFAP2A|WNT5A|MYCN|PAX2|TTC8|FZD3|SEC24B|WDPCP|FGF9|JAG1|ZIC1|SPRY2|ATP2B2|PRKRA|ATP6V1B1|RAC1|CALB1|FAT4|FGF2,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_EAR_DEVELOPMENT,225,ENR,GOBP_EAR_DEVELOPMENT,2.3348,4.0000000000000001E-3,GOBP_EAR_DEVELOPMENT,FALSE,GOBP_EAR_DEVELOPMENT
,1.9355420107730801,1.9355420107730801,1.9355420107730801,0.98839999999999995,0.27460000000000001,3.44E-2,1,NME7|TUBG2|PCNT|DCTN1|PDE4DIP|TPPP|TPX2|CCDC57|NDE1|NEDD1|SLAIN1|SLAIN2|TUBGCP2|TUBGCP3|TUBGCP4|TUBGCP5|TUBGCP6|HSPA1A|SSNA1|NDEL1|CSNK1D|ARHGEF7|CCDC66|EML2|HAUS2|CEP192|HSPA1B|GOLGA2|MECP2|GIT1|CLASP1|MZT1|AKAP9|CLASP2|CKAP5|NIN|PAK1|TUBG1,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_MICROTUBULE_NUCLEATION,38,ENR,GOBP_MICROTUBULE_NUCLEATION,2.0345,1.1599999999999999E-2,GOBP_MICROTUBULE_NUCLEATION,FALSE,GOBP_MICROTUBULE_NUCLEATION
2,2.74472749489669,2.74472749489669,2.74472749489669,1,0.29320000000000002,0,0,AMIGO2|L1CAM|PCDHGC3|PLXNB3|CADM4|CDH4|CDH17|FAT3|DSC1|PLXNB2|PCDH12|CHL1|PIK3CB|CDHR2|DCHS1|CADM3|HMCN1|PCDH15|CDH10|NEXN|CDH6|IGSF21|CDH9|PVR|CDHR5|NRCAM|CDH2|IGSF11|SDK1|KIRREL3|DSCAML1|PRTG|CEACAM1|CEACAM2|DSC2|DSG2|MYOT|CDH3|CDH8|FAT2|EMB|CDH16|PCDH1|CDH23|DSG3|PCDH18|CDH15|CDH22|CDH24|CELSR3|CDH7|CDH5|BSG|CLSTN1|PECAM1|NPTN|CADM1|PTPRM|CDH1|CDHR1|RET|SDK2|IGSF9|MYPN|DSCAM|PALLD|CLSTN2|PTPRF|PTPN23|CELSR1|PTPRT|CELSR2|AMIGO1|CLSTN3|ESAM|DSC3|DSG1A|CADM2|DSG1B|PCDH8|CDHR3|PCDH10|PCDH19|CDH13|PCDH20|FAT4|PCDHB14|ROBO1|PCDHB18|ROBO2|CDH11|PCDHGA4,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,92,ENR,GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,3.3340000000000001,0,GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,FALSE,GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES
6,1.56383735295924,1.56383735295924,1.56383735295924,0.97270000000000001,0.25700000000000001,9.9000000000000005E-2,1,HMGB1|ROBO4|PDCD10|ITGB1BP1|MEF2C|TGFB1|DLL4|GADD45A|NOTCH1|PIK3R2|SPRED1|ACVRL1|CSNK2B|RHOA|PPARG|JUP|VASH1|STARD13|ANGPT2|HDAC5|KLF4|MEOX2|THBS1|MECP2|MAP2K5|TBXA2R|TNF|MMRN1|APOE|CARD10|MMRN2|ATP2B4|HRG|FGF2,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,34,ENR,GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,1.7336,2.7300000000000001E-2,GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,FALSE,GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION
2,2.74472749489669,2.74472749489669,2.74472749489669,1,0.25140000000000001,1.4E-3,5.6000000000000001E-2,MPDZ|NEDD4L|PAK2|MYO1C|SVEP1|NPHP4|RAB13|PARD3|PKP2|ILDR1|EPHA2|RPS6|ROCK1|ROCK2|CLDN17|ACVRL1|CLDN13|CLDN18|PRKCH|SNAI1|CLDN3|SNAI2|CLDN5|CLDN7|CLDN10|CLDN16|DLG1|CLDN15|EPHB2|ALOX12B|ARL2|ALOXE3|TNF|OCLN|TGFBR1|ABCC8|EXT1|F11R|OCEL1|FZD5|MICALL2|ACTN4|SLC39A9|CLDN2|ACTG1|WNT11|TGFB3|CLDN6|CLDN12|CLDN9|CLDN14|CLDN22|DSG3|IKBKB|CLDN23|CLDN8|ITGB1|GJA1|PLEC|RAMP2|CDH5|CLDN19|CLDN4|PECAM1|PRKACA|MARVELD2|PDCD6IP|CDH1|TBCD|GRHL2|MYLK3|CLDN1|MPP7|MARVELD3|TJP1|CGN|ESAM|SRF|POF1B|RAC1|ECT2|IL1B|CLDN11|NPHP1|LSR,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_TIGHT_JUNCTION_ORGANIZATION,85,ENR,GOBP_TIGHT_JUNCTION_ORGANIZATION,2.7366000000000001,0,GOBP_TIGHT_JUNCTION_ORGANIZATION,FALSE,GOBP_TIGHT_JUNCTION_ORGANIZATION
