NAME,NES,pvalue,FDR
GOBP_GOLGI_VESICLE_TRANSPORT,3.6483612,0.0,0.0
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION,3.4531984,0.0,0.0
GOBP_ENDOTHELIUM_DEVELOPMENT,3.3194857,0.0,0.0001177682
GOBP_ENDOTHELIAL_CELL_DIFFERENTIATION,3.2935185,0.0,0.000107062
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,3.2693915,0.0,9.059092e-05
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,3.252105,0.0,8.412013e-05
GOBP_EPITHELIAL_CELL_DEVELOPMENT,3.1902897,0.0,7.360512e-05
GOBP_CELLULAR_COMPONENT_MAINTENANCE,3.0693538,0.0,0.00021533696
GOBP_APICAL_JUNCTION_ASSEMBLY,3.0185688,0.0,0.00023806939
GOBP_GOLGI_ORGANIZATION,2.9772062,0.0,0.00021256195
GOBP_VESICLE_LOCALIZATION,2.9640942,0.0,0.00024597853
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,2.902879,0.0,0.0006169627
GOBP_VACUOLE_ORGANIZATION,2.8634648,0.0,0.00079830893
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,2.8620164,0.0,0.00077673304
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,2.8206701,0.0,0.000907253
GOBP_CENTROSOME_DUPLICATION,2.8099427,0.0,0.0009988821
GOBP_REGULATION_OF_PROTEIN_SECRETION,2.7837858,0.0,0.0010690672
GOBP_LYSOSOMAL_MEMBRANE_ORGANIZATION,2.7472053,0.0,0.0013762764
GOBP_TIGHT_JUNCTION_ORGANIZATION,2.736569,0.0,0.0013977073
GOBP_ENDOTHELIAL_CELL_MIGRATION,2.7115529,0.0,0.0016479939
GOBP_NUCLEUS_ORGANIZATION,2.7036514,0.0,0.0016539884
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,2.6826787,0.0,0.0016995549
GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION,2.6753166,0.0,0.0018341475
GOBP_PROTEIN_LOCALIZATION_TO_CYTOSKELETON,2.6592267,0.0,0.002065578
GOBP_MEMBRANE_FISSION,2.6345594,0.0,0.0024470403
GOBP_DOUBLE_STRAND_BREAK_REPAIR,2.6329446,0.0,0.0024272942
GOBP_REGULATION_OF_DNA_REPAIR,2.6304295,0.0,0.0024272643
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,2.6215105,0.002,0.0026481496
GOBP_ERK1_AND_ERK2_CASCADE,2.6140816,0.0,0.002717883
GOBP_CYTOSOLIC_TRANSPORT,2.5971146,0.0,0.0030277695
GOBP_NUCLEAR_MEMBRANE_REASSEMBLY,2.5951548,0.0,0.0029585664
GOBP_VIRAL_RELEASE_FROM_HOST_CELL,2.567554,0.0,0.0033789596
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT,2.5612833,0.0,0.0035065424
GOBP_MULTIVESICULAR_BODY_ORGANIZATION,2.5606089,0.0,0.0034627109
GOBP_TRNA_METABOLIC_PROCESS,2.5605943,0.0,0.003419961
GOBP_MACROAUTOPHAGY,2.555519,0.0,0.0034944338
GOBP_ENDOSOMAL_TRANSPORT,2.5455246,0.0018975332,0.0036863051
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR,2.5412982,0.0,0.003755627
GOBP_VASCULOGENESIS,2.5321083,0.0,0.0040430175
GOBP_GLYCOSYLATION,2.5316706,0.0,0.003997074
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS,2.5195343,0.0,0.0042021503
GOBP_ERBB_SIGNALING_PATHWAY,2.5193555,0.0,0.004155973
GOBP_VESICLE_BUDDING_FROM_MEMBRANE,2.51232,0.0,0.004340267
GOBP_REGULATION_OF_CENTROSOME_CYCLE,2.5091546,0.0,0.004325114
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,2.4835613,0.0,0.0049327286
GOBP_INSULIN_METABOLIC_PROCESS,2.480489,0.0,0.0049085477
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,2.4790304,0.0,0.0049070907
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,2.4788327,0.0,0.004860357
GOBP_INSULIN_SECRETION,2.4763322,0.0,0.0049169776
GOBP_LYTIC_VACUOLE_ORGANIZATION,2.4750485,0.0,0.0049387463
GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,2.471117,0.0,0.0050274064
GOBP_CYTOKINETIC_PROCESS,2.4669106,0.0,0.0051806974
GOBP_CHROMOSOME_SEGREGATION,2.4656103,0.00203666,0.005166655
GOBP_VIRAL_BUDDING,2.4456158,0.0,0.0058935364
GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM,2.4341812,0.0,0.006031344
GOBP_TRNA_PROCESSING,2.4297595,0.0,0.006172013
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,2.423819,0.0,0.006315845
GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,2.4228785,0.0,0.0062344605
GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION,2.417766,0.0,0.0063633006
GOBP_TRNA_MODIFICATION,2.4164808,0.0,0.0064079477
GOBP_REGULATION_OF_VASCULAR_PERMEABILITY,2.4107955,0.0,0.006469448
GOBP_NUCLEAR_MEMBRANE_ORGANIZATION,2.4103398,0.0,0.006429833
GOBP_AUTOPHAGOSOME_MATURATION,2.4030483,0.0,0.0067232377
GOBP_MEMBRANE_FUSION,2.399669,0.0019880715,0.0068527283
GOBP_VESICLE_TARGETING,2.3988826,0.0,0.0068201823
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,2.3959522,0.0,0.00687564
GOBP_NEUROMUSCULAR_PROCESS_CONTROLLING_BALANCE,2.3957846,0.0,0.006825817
GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT,2.3937795,0.0,0.0068631507
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,2.3928394,0.0,0.0068172
GOBP_RECOMBINATIONAL_REPAIR,2.3763483,0.0,0.007462623
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,2.3737192,0.0,0.007544175
GOBP_VESICLE_ORGANIZATION,2.3698692,0.002079002,0.0075898827
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,2.3638048,0.0020408162,0.00790422
GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS,2.3575563,0.0,0.008207784
GOBP_MITOTIC_CYTOKINETIC_PROCESS,2.354395,0.0,0.008289477
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,2.341581,0.0,0.009004839
GOBP_LATE_ENDOSOME_TO_LYSOSOME_TRANSPORT,2.3343308,0.0,0.0091178985
GOBP_LYSOSOMAL_TRANSPORT,2.3245585,0.0,0.009746354
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER,2.3083615,0.0,0.010673553
GOBP_RESPONSE_TO_STARVATION,2.306735,0.0,0.0107122
GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY,2.297012,0.0,0.011178117
GOBP_ORGANELLE_MEMBRANE_FUSION,2.2969613,0.0,0.011118983
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION,2.2857544,0.0,0.01171093
