NAME,NES,pvalue,FDR
GOBP_T_CELL_SELECTION,1.6281435,0.04528302,0.21032393
GOBP_REGULATION_OF_TRANSLATION,1.6272485,0.034782607,0.20993885
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER,1.625373,0.03168317,0.21112649
GOBP_EXTRACELLULAR_TRANSPORT,1.6218299,0.03468208,0.21274266
GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE,1.6083812,0.04771372,0.22201493
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_WOUNDING,1.6077179,0.04660194,0.22212464
GOBP_FEMALE_GAMETE_GENERATION,1.6068951,0.03846154,0.2209914
GOBP_DICARBOXYLIC_ACID_TRANSPORT,1.5953683,0.046653144,0.22754996
GOBP_BONE_CELL_DEVELOPMENT,1.5945916,0.04761905,0.22777672
GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_MIGRATION,1.5764964,0.03950104,0.23972306
GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS,1.57029,0.055666003,0.24055342
GOBP_NEURAL_CREST_CELL_DIFFERENTIATION,1.5598687,0.05487805,0.24928631
GOBP_FOREBRAIN_REGIONALIZATION,1.55984,0.046692606,0.24864486
GOBP_POSITIVE_REGULATION_OF_MUSCLE_HYPERTROPHY,1.5574797,0.052837573,0.25010294
GOBP_METANEPHRIC_EPITHELIUM_DEVELOPMENT,1.5573446,0.046421662,0.2496008
GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM,1.5532073,0.054158606,0.25171757
GOBP_MATURATION_OF_LSU_RRNA,1.5500318,0.053045187,0.2506788
GOBP_MATURATION_OF_SSU_RRNA,1.545543,0.067073174,0.253759
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION,1.5421097,0.065789476,0.2550278
GOBP_SECONDARY_METABOLIC_PROCESS,1.5401356,0.047131147,0.25547108
GOBP_MUSCLE_HYPERTROPHY,1.5399357,0.03875969,0.25505683
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION,1.5370939,0.06036217,0.25537008
GOBP_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE,1.5366322,0.06346154,0.25525558
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS,1.5346975,0.055785123,0.25577468
GOBP_RESPONSE_TO_ACTIVITY,1.5328896,0.06,0.2566519
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,1.5299292,0.05882353,0.25957733
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,1.5225637,0.054507338,0.26325223
GOBP_NADPH_REGENERATION,1.5187575,0.058479533,0.2658177
GOBP_NEGATIVE_REGULATION_OF_COAGULATION,1.517142,0.06042885,0.26578292
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION,1.5057254,0.07392996,0.27408743
GOBP_PHOSPHATE_ION_HOMEOSTASIS,1.4985102,0.07014028,0.2791221
GOBP_REGULATION_OF_PLASMINOGEN_ACTIVATION,1.483697,0.09227872,0.28973034
GOBP_REGULATION_OF_B_CELL_PROLIFERATION,1.4818853,0.09325397,0.28958103
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,1.481483,0.076620825,0.28947678
GOBP_CHLORIDE_TRANSPORT,1.4802617,0.060606062,0.29048184
GOBP_REGULATION_OF_HEART_GROWTH,1.4742792,0.07212476,0.29626292
GOBP_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,1.4701219,0.06534653,0.2979376
GOBP_PEPTIDE_CROSS_LINKING,1.4652181,0.08782435,0.30073142
GOBP_REGULATION_OF_AMINE_METABOLIC_PROCESS,1.45932,0.067073174,0.3071162
GOBP_STRIATED_MUSCLE_ADAPTATION,1.4585714,0.08851224,0.30748135
GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS,1.4560298,0.08396947,0.30841652
GOBP_PENTOSE_PHOSPHATE_SHUNT,1.452983,0.08251473,0.31046942
GOBP_NEUROBLAST_DIVISION,1.4504703,0.07456979,0.310706
GOBP_REGULATION_OF_ORGAN_GROWTH,1.4428424,0.07312253,0.3184373
GOBP_NEGATIVE_REGULATION_OF_RNA_CATABOLIC_PROCESS,1.4396497,0.10485437,0.3208315
GOBP_POSITIVE_REGULATION_OF_DENDRITE_DEVELOPMENT,1.4384042,0.10261569,0.3206252
GOBP_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY,1.435242,0.095703125,0.32351157
GOBP_TRANS_SYNAPTIC_SIGNALING_MODULATING_SYNAPTIC_TRANSMISSION,1.4318961,0.08888889,0.324922
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,1.4315989,0.10139165,0.3246783
GOBP_RESPONSE_TO_MUSCLE_ACTIVITY,1.42193,0.10037879,0.33147895
GOBP_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS,1.4216506,0.10750507,0.3311779
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,1.4216167,0.091451295,0.33058718
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION,1.4215262,0.10973085,0.33007634
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,1.4173957,0.087318085,0.33081397
GOBP_CELLULAR_PIGMENTATION,1.4169389,0.0951417,0.3302098
GOBP_REGULATION_OF_FATTY_ACID_BETA_OXIDATION,1.4121071,0.09437751,0.33518574
GOBP_TYROSINE_METABOLIC_PROCESS,1.4107447,0.10245901,0.33650044
GOBP_CATECHOLAMINE_UPTAKE,1.4082438,0.103238866,0.33679345
GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,1.4080825,0.10953347,0.33577505
GOBP_RESPONSE_TO_ALKALOID,1.407136,0.107942976,0.33524084
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,1.4041742,0.10958904,0.3382607
GOBP_DETERMINATION_OF_ADULT_LIFESPAN,1.4025906,0.09829868,0.33931038
GOBP_AMINO_ACID_TRANSPORT,1.3983287,0.1002045,0.34327778
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,1.3977393,0.09710744,0.34351376
GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,1.3965751,0.10408163,0.34453043
GOBP_PROTEIN_ACETYLATION,1.3885212,0.1030303,0.35182858
GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY,1.3880861,0.12783505,0.35180974
GOBP_POSITIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS,1.3856568,0.1167002,0.35421842
GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS,1.3824259,0.12323232,0.3570752
GOBP_HORMONE_METABOLIC_PROCESS,1.381818,0.1097561,0.35737896
GOBP_CARDIAC_CONDUCTION,1.3816767,0.104417674,0.35695678
GOBP_POSITIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,1.3812201,0.11890838,0.35639465
GOBP_REGULATION_OF_MUSCLE_HYPERTROPHY,1.3781303,0.12578617,0.35777655
GOBP_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,1.3778976,0.14545454,0.35749182
GOBP_SEROTONIN_TRANSPORT,1.374021,0.122,0.3606956
GOBP_V_D_J_RECOMBINATION,1.367954,0.12934363,0.36483476
GOBP_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS,1.3666811,0.14229248,0.3649375
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,1.3659719,0.12145749,0.36538994
GOBP_FAT_CELL_PROLIFERATION,1.3643562,0.13577981,0.36598796
GOBP_POSITIVE_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM,1.3619802,0.114173226,0.36830446
GOBP_DE_NOVO_PROTEIN_FOLDING,1.3607064,0.11890838,0.3695919
GOBP_SULFATION,1.3573829,0.12648222,0.3720394
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION,1.3562852,0.115311906,0.3724167
GOBP_RESPONSE_TO_CORTICOSTEROID,1.3535824,0.14256619,0.3753221
GOBP_CELLULAR_RESPONSE_TO_ETHANOL,1.3513321,0.1403162,0.37810847
GOBP_FORELIMB_MORPHOGENESIS,1.3504584,0.15551181,0.3781752
GOBP_SKELETAL_MUSCLE_TISSUE_REGENERATION,1.3454884,0.14989734,0.38010862
GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,1.3417552,0.1223301,0.3825824
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,1.3356974,0.13243762,0.38612422
GOBP_B_CELL_PROLIFERATION,1.3307748,0.165692,0.39053187
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,1.3269656,0.15087041,0.39467487
GOBP_BEHAVIORAL_RESPONSE_TO_COCAINE,1.3253543,0.14528301,0.39538726
GOBP_NEGATIVE_REGULATION_OF_ORGANIC_ACID_TRANSPORT,1.3208727,0.15322581,0.39783913
GOBP_POSITIVE_THYMIC_T_CELL_SELECTION,1.3201481,0.14226805,0.39827207
GOBP_CELLULAR_RESPONSE_TO_ESTRADIOL_STIMULUS,1.3111668,0.13865547,0.40433225
GOBP_RRNA_TRANSCRIPTION,1.3104241,0.13253012,0.4042783
GOBP_ONE_CARBON_COMPOUND_TRANSPORT,1.3059174,0.16370809,0.40539995
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT,1.3028758,0.18019801,0.40616578
GOBP_DETECTION_OF_MECHANICAL_STIMULUS,1.3018419,0.16666667,0.40717167
GOBP_REGULATION_OF_CATECHOLAMINE_METABOLIC_PROCESS,1.3000535,0.15182187,0.4087813
GOBP_FEMALE_GENITALIA_DEVELOPMENT,1.2997497,0.15400411,0.40867984
GOBP_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS,1.2989749,0.17382812,0.4087361
GOBP_REGULATION_OF_NEUROTRANSMITTER_UPTAKE,1.2982891,0.17021276,0.40866694
GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,1.296387,0.16374269,0.41054234
GOBP_PIGMENT_METABOLIC_PROCESS,1.2885283,0.1740042,0.41766363
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS,1.2732822,0.18940938,0.43328965
GOBP_NEUROTRANSMITTER_UPTAKE,1.2726736,0.17269076,0.43364933
GOBP_RESPONSE_TO_CAFFEINE,1.2711806,0.19715448,0.43483788
GOBP_ENAMEL_MINERALIZATION,1.2675018,0.18442623,0.43778923
GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS,1.2622474,0.18058252,0.44396162
GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,1.261184,0.18940938,0.4444934
GOBP_HEMOGLOBIN_METABOLIC_PROCESS,1.2555393,0.19294606,0.44527957
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,1.253029,0.206,0.44830647
GOBP_MONOATOMIC_ANION_HOMEOSTASIS,1.2526954,0.19128788,0.4476342
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,1.2520915,0.188,0.44744462
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS,1.2468795,0.2188755,0.4531251
GOBP_CARDIOCYTE_DIFFERENTIATION,1.2441437,0.20392157,0.45709985
