__mclCluster,EnrichmentMap::-log10(pvalue) (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::-log10(pvalue)*sign(NES) (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::ES (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::fdr_qvalue (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::fwer_qvalue (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::pvalue (human_r_protein_coding_classic.GseaPreranked),name,selected,shared name
8,2.23657200643706,-2.23657200643706,2.23657200643706,-0.99419999999999997,-0.27950000000000003,7.2800000000000004E-2,1,MTMR10|MTMR11|MTMR12|MTMR2|MTMR3|MTMR4|MTMR6|MTMR7|MTMR8|MTMR9|PIP4P1|PIP4P2|OCRL|CHRM5|PTEN|SACM1L|MTM1|INPP5A|INPP5B|INPP5D|INPP5E|INPP5F|INPP5J|INPPL1|INPP5K|SYNJ1|FIG4|SYNJ2|MTMR1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION,29,ENR,GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION,-1.8529,5.7999999999999996E-3,GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION,FALSE,GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION
51,2.0969100130080598,-2.0969100130080598,2.0969100130080598,-0.99199999999999999,-0.3085,2.69E-2,0.996,EXOSC3|EXOSC6|LARP7|TUT1|USB1|MEPCE|METTL16|METTL4|EXOSC4|EXOSC5|FTO|INTS6L|INTS1|SAGE1|INTS10|TOE1|INTS11|INTS12|INTS13|INTS14|INTS2|INTS3|INTS4|INTS5|INTS6|INTS7|INTS8|DKC1|INTS9|NHP2|EXOSC2|NOP10|EXOSC7|EXOSC8|EXOSC9,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SNRNA_PROCESSING,35,ENR,GOBP_SNRNA_PROCESSING,-2.1131000000000002,8.0000000000000002E-3,GOBP_SNRNA_PROCESSING,FALSE,GOBP_SNRNA_PROCESSING
67,1.7423214251308199,-1.7423214251308199,1.7423214251308199,-0.9819,-0.14319999999999999,8.9099999999999999E-2,1,THBS1|TICAM1|CCL3|DYSF|TLR1|ADGRF5|WNK4|TLR6|TNIP2|CD200|NR1H3|CD74|BPI|WNT5A|TYROBP|PTPRC|HMGB1|CX3CL1|VSIG4|CX3CR1|SHPK|IL13|IL4R|FCER2|KARS1|NR1D1|FOXP1|SLC11A1|EDN2|PLA2G10|FCGR2B|C1QA|PLA2G3|FPR2|PLA2G4A|IFI35|CTSC|CLU|PLCG2|FCGR3A|SYT11|JMJD6|IL33|KCNJ8|ITGAM|CST7|ITGB2|LBP|JUND|LCN10|HAVCR2|SPHK1|FAM76B|MIF|MFHAS1|CD93|SNCA|HSPA12A|IL1RL1|NR4A1|IL31RA|SPACA3|GRN|TNF|HSPD1|TMEM229B|JAK2|IFNGR2|SBNO2|IRGM|LRFN5|MCUB|NMI|NAGLU|IFNGR1|MAPT|TREM2|CALHM2|TLR3|TLR4|PJA2|TLR9|AGER|PRKCE|ZC3H12A|CRTC3|IFNG|IL4|AIF1|MMP8|GPR137B|APP|IL10|SUCNR1|CEBPA|IL6|TTBK1|AZU1|TAFA3|LDLR|TREX1|C5AR1|LRRK2|RORA|STAP1|JUN|STK39|SYK|MYO18A|TMEM106A,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MACROPHAGE_ACTIVATION,110,ENR,GOBP_MACROPHAGE_ACTIVATION,-1.7906,1.8100000000000002E-2,GOBP_MACROPHAGE_ACTIVATION,FALSE,GOBP_MACROPHAGE_ACTIVATION
,2.7212463990471698,-2.7212463990471698,2.7212463990471698,-1,-0.30320000000000003,7.4000000000000003E-3,0.55300000000000005,GHRL|UMOD|HRH2|DRD2|CES1|KCNQ1|SLC51B|P2RX7|ACACB|CHRM5|AGXT|DRD3|NMU|ABCB11|SLC9A4|ABAT|ABCB4|APBA1|BEST1|CACNB4|CASR|GABBR1|PTGER3|HIP1R|NHERF1|NTSR1|SCT|SLC22A16|TNF|SGK1|SLC51A|TRH|CCKBR|NF1|TRPC4|SLC26A6|UGT1A3|SLC26A7|SNX10|CLDN2|TFF2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ACID_SECRETION,41,ENR,GOBP_ACID_SECRETION,-2.3860999999999999,0,GOBP_ACID_SECRETION,FALSE,GOBP_ACID_SECRETION
7,2.7212463990471698,-2.7212463990471698,2.7212463990471698,-1,-0.28799999999999998,9.7000000000000003E-3,0.70099999999999996,TUBGCP4|TUBGCP5|TUBGCP6|MZT1|NIN|CCDC66|HSPA1B|AKAP9|PDE4DIP|ARHGEF7|GOLGA2|EML2|NEDD1|PCNT|RANBP9|CCDC57|SLAIN1|SLAIN2|SSNA1|TPPP|NDE1|NDEL1|CEP192|BLOC1S2|PAK1|CKAP5|CSNK1D|HSPA1A|HAUS1|HAUS2|CLASP1|HAUS3|TPX2|CLASP2|HAUS4|HAUS5|HAUS6|NME7|DCTN1|GIT1|HAUS7|HAUS8|TUBG1|MECP2|TUBG2|TUBGCP2|TUBGCP3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MICROTUBULE_NUCLEATION,47,ENR,GOBP_MICROTUBULE_NUCLEATION,-2.3334999999999999,0,GOBP_MICROTUBULE_NUCLEATION,FALSE,GOBP_MICROTUBULE_NUCLEATION
17,2.7212463990471698,-2.7212463990471698,2.7212463990471698,-1,-0.10100000000000001,2.8E-3,0.186,TNFRSF8|TRIM16|VTCN1|WNT11|WNT3A|HSPA1B|NR1H4|B2M|CAMP|CD4|AIM2|CEBPB|AKIRIN2|APPL1|DEFA5|BCL10|HMGB1|BTK|CADM1|IL6ST|CARD8|CARD9|INS|CASP1|CASP8|LEP|CD36|FCGR1A|IDO1|CHUK|FOXP1|CLEC4E|CLEC6A|CLNK|PIK3CD|PIK3CG|GSDMD|CYBA|DHX33|DHX58|IL17F|DRD2|EIF2AK2|FCGR2B|FCN1|PLA2G1B|FGR|FLOT1|PLA2G3|GBP5|PNP|OAS2|HLA-E|HLA-F|HLA-G|PRG2|IFI16|PLCB1|IFIH1|IKBKE|INAVA|PLCG2|UAP1|IRAK1|IRAK3|IRF1|IRF3|ARFGEF2|IRF4|IRF5|SIGLEC16|IRF7|SPON2|KIR2DL4|LACC1|TSLP|TUSC2|LILRA2|PARK7|LY96|MAPKAPK2|MAVS|MEFV|MMP12|STOML2|NAIP|TNF|TRPV4|UCN|NLRC4|DENND1B|NLRP1|NLRP10|NLRP3|OAS3|XBP1|ABL1|POLR3B|POLR3C|POLR3D|POLR3F|AGER|POLR3G|IFNG|IL4|PYDC1|BRCA1|RAET1G|NFATC4|NOS2|NR4A3|RELA|OAS1|RIGI|CEBPG|RIOK3|CGAS|RNF135|RSAD2|LAPTM5|SCIMP|CD55|CD7|MALT1|PRKCZ|LRRK2|SECTM1|TRAF2|STAT5A|TICAM1|C3|TICAM2|ADORA2B|TIGIT|TLR1|TLR2|TLR5|TLR6|CAMK4|TRAF3|TRAF3IP3|CD46|CD80|TRIM15|CD86|RAB1A|TRIM56|DDX21|TRIM6|TRIM65|TYROBP|FFAR3|UNC93B1|RAB7B|PELI1|PTPN11|USP50|GPR65|GPRC5B|DDX1|XIAP|ZC3HAV1|ZCCHC3|IL4R|DHX9|PANX1|RPS3|SEMA7A|SETD2|SIRT1|HMGB2|SORL1|ZBTB7B|SPTBN1|TMED10|TWIST1|HSPA1A|RAD21|FCGR2A|FCGR2C|FCGR3A|KAT2A|KLRF2|CD28|S100A13|CD40|ADRA2A|PIK3R1|CHIA|EREG|PQBP1|STAT3|TGFB1|TREM2|FOXP3|ADAM10|ADAM17|ADAM8|ADIPOQ|AIF1|AIRE|APP|ARNT|ANXA1|HSP90AA1|IL10|IL2|IL27RA|IL6|AZU1|BSG|C3AR1|C5|C5AR1|KPNA2|CALCA|RBM47|CCL19|GAPDH|CCL3|HIF1A|HK1|CCR2|GLMN|HTR2A|CCR7|CD200|CD34|P2RX7|CD74|CD81|PRKCQ|PRKD2|PTPRC|CREB1|CRTAM|CSF1R|PSEN1|RGCC|CX3CL1|CXCL17|MAPK9|TBX21|ZBTB20|DDT|DEFB124|TNFSF4|DEFB131A|ELANE|ATF2|EPX|F2RL1|FADD|FCER1G|FFAR2|GATA3|GPSM3|IL12A|IL16|CLU|IL17A|IL17RA|IL17RC|IL1B|IL1R1|IL23A|IL33|IL6R|CYRIB|USP22|HRAS|KIT|KLRC4-KLRK1|KLRK1|LBP|LGALS9|MCOLN2|MDK|MIF|HGF|MYD88|HSPD1|NLRP12|PDE4B|RFTN1|PF4|SCRIB|PTGER4|DHX36|PTPRJ|RTN4|POLR3A|SAA1|SELENOK|SERPINE1|SLAMF1|OPA1|SPN|STAT5B|PHB1|SYK|THBS1|TIRAP|TNFRSF14|PYCARD|ATF4|WNT5A|ATP6AP2|XCL1|ZNF580|ZP3|EGR1|SMAD3|EIF2AK3|STMP1|IL13|NOX5|SLC11A1|EPHB2|FZD5|HMOX1|TOMM70|MAP3K7|SCAMP5|SPHK2|NOD1|STING1|NOD2|F2R|AGPAT1|AGPAT2|DDX3X|RAB2B|ALOX15B|APOA2|RIPK2|ARID5A|BCL3|BTN3A1|BTN3A2|CD14|CD160|CD2|CD226|CD244|CD274|CD276|CD3E|CLEC7A|DDIT3|ABCC8|EBI3|ADCYAP1|HAVCR2|AFAP1L2|HLA-A|SPHK1|AGT|HLA-DPA1|AKAP12|HLA-DPB1|ARHGEF2|ARRDC4|HMHB1|BMPR1A|HMSD|BTNL2|IFNL1|C1QTNF3|IL12B|C1QTNF4|IL12RB1|CARD11|IL12RB2|CCBE1|IL18|CCDC88B|IL18R1|CD58|IL1RL1|TBK1|CD6|IL20RB|CD83|IL21|CEACAM20|IL23R|CHI3L1|IL27|CLEC12A|CLEC5A|CLEC9A|CSF2|IRF8|CYBB|ISG15|F3|ISL1|TRAF6|FERMT1|JAK2|FLT4|TMF1|TRIM32|FRMD8|G3BP1|LILRB1|GARIN5A|GATA4|LTA|HDAC2|HEG1|HHLA2|PDE4D|HILPDA|HPSE|HSPB1|HYAL2|PTPN22|IFNGR1|RARA|IL15|SASH3|IL17B|IL17D|SLAMF6|IL17RB|SLC7A5|IL1A|TLR3|IL1RAP|TLR4|IL1RL2|TLR7|IL26|TLR8|IL32|TLR9|IL36A|TRIM27|IL7|TXK|ITK|TYK2|KPNA6|LAMTOR5|LILRA5|HTR2B|LILRB2|ZFPM1|LTB|CYP1B1|LUM|LURAP1|BATF|LY9|MAPK11|MAPK13|MAPK14|CD40LG|MBP|MMP8|MYB|NFAM1|NLRP2|NLRP9|NMB|NMBR|NODAL|NOX1|NRDC|ORM1|ORM2|OSM|PAEP|PANX2|PANX3|PIBF1|PLA2R1|POSTN|POU2AF1|POU2F2|PRG3|PTGS2|RIPK1|ROCK2|RORA|RUNX1|SERPINB7|SERPINF2|SETD4|LPL|SOD1|STAT1|SULF1|SULF2|TANK|TMEM106A|TMIGD2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,499,ENR,GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,-2.5831,0,GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,FALSE,GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
7,1.8507808873446201,-1.8507808873446201,1.8507808873446201,-0.9859,-0.1351,7.7600000000000002E-2,1,ZWINT|C9ORF78|KAT5|NSMCE2|MAD2L2|CENPE|CENPF|CDK5RAP2|CCNB1|CDK1|PBRM1|DLGAP5|PHF10|HORMAD1|PLK1|CSNK2A2|KIF2C|SMC5|SMC6|KLHL22|RMI2|MAP3K20|NDC80|GEN1|SIRT1|PPP2R2A|SMARCA2|PPP2R2D|SMARCA4|SMARCB1|SMARCC1|SMARCC2|SMARCD1|SMARCD2|SMARCD3|RAD18|SMARCE1|RCC2|KNTC1|HNRNPU|RAD21|IK|RB1|KNL1|KAT2B|ATM|BECN1|BUB1|PLSCR1|AURKB|MAD1L1|MAD2L1BP|NCAPD2|NCAPD3|NCAPG|NCAPG2|NCAPH|NCAPH2|NUMA1|SKA1|TRIP13|SKA3|SMC2|SMC4|XRCC3|TPR|CDC6|ZW10|ANAPC1|ANAPC11|ANAPC15|ANAPC2|ANAPC4|ANAPC5|ANAPC7|APC|UBE2C|DUSP1|CUL3|DYNC1LI1|CDC16|CDC20|FBXO5|PRP4K|USP44|CDC23|ACTB|ACTL6A|CDC27|ACTL6B|CHFR|ARID1A|ARID1B|ARID2|PUM1|BCL7A|BCL7B|BCL7C|BRD7|IHO1|CSNK2A1|BIRC5|PUM2|BUB1B|PRAP1|BUB3|CDCA8|DPF1|DPF2|ESPL1|DPF3|HASPIN|HECW2|INCENP|LCMT1|MAD2L1|NEK6|NUF2|PSMG2|SIRT2|RIOK2|MAPK15|SPC24|SPC25|SPDL1|TACC3|TEX14|TTK|ZNF207|ZWILCH,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,130,ENR,GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,-1.8313999999999999,1.41E-2,GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,FALSE,GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION
10,2.7212463990471698,-2.7212463990471698,2.7212463990471698,-1,-0.44,4.3E-3,0.318,ZFAND2B|ARL6IP1|TRAM1|TRAM1L1|SEC61A1|TRAM2|SEC61A2|SEC61B|SEC62|SEC63|SIL1|SRP14|SRP19|SRP54|SRP68|SRP72|SRP9|SRPRA|SRPRB|SSR1|SSR2|SSR3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,22,ENR,GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.4954999999999998,0,GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,FALSE,GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE
1,2.7212463990471698,-2.7212463990471698,2.7212463990471698,-0.99809999999999999,-0.1066,2.1399999999999999E-2,0.97299999999999998,MSH6|CCL3|UNG|NDFIP1|ENPP3|CCR2|ENTPD7|CCR6|CD177|BRD2|CD300A|ANXA3|CD69|ATP7A|CD74|CD81|EIF2AK4|PAXIP1|PCYT1A|CHGA|PMS2|CLEC4D|PTPRC|PSEN1|HMGB1|BTK|CX3CR1|IL6ST|CEACAM1|MTOR|STAT6|KARS1|FOXP1|CLEC4E|TBX21|CLNK|PIK3CD|PIK3CG|EOMES|TNFSF13|TNFSF4|IFNE|ICOSLG|IFNA5|MSH2|JAK1|F2RL1|FCGR2B|FCER1G|FER|SUPT6H|FGR|PLA2G3|GATA3|GKN2|ST3GAL1|TP53|RORC|NOTCH2|GPR15LG|HLA-F|GPR183|AP1G1|IFI35|ICAM1|IFNK|PLCG2|SCNN1B|IL23A|PLCL2|IL33|IL6R|IRF4|BRD4|ITGAL|KLRC2|DOCK2|KIT|LILRA2|ITGAM|ITGB2|LBP|LGALS9|LYN|MDK|CD180|MYD88|LCP1|CRACR2A|TNF|AICDA|HSPD1|NCKAP1L|SBNO2|NLRP3|RABGEF1|NMI|SEMA6D|PDPK1|XBP1|ABL1|PTGER4|PTK2B|GBF1|PRKCE|RAC2|PTPN6|IFNG|IL4|NR4A3|LAMP1|SLAMF1|TREX1|OPA1|MALT1|PRKCZ|SPI1|SH2D1B|SPN|STAT5A|SWAP70|SYK|APBB1IP|TICAM1|CDH17|DOCK10|ADORA2B|DOCK11|DYSF|GAPT|ICOS|ITFG2|C17ORF99|DLL1|ITM2A|LFNG|MFNG|TNFSF18|PDP2|PYCARD|PHF14|PLXNA1|CD1C|KMT5B|KMT5C|CD46|MAD2L2|CD80|CD84|CD86|NBN|DNASE1|DNASE1L3|NKX2-3|NSD2|PCK1|FERRY3|TYROBP|FES|FGL2|PARP3|FOXF1|GAB2|GATA1|GATA2|GPR65|HLA-DMB|HLA-DRA|HLX|KMT2A|DDRGK1|IL13RA2|IL13|IL4R|MEN1|TFRC|JAK3|JUNB|LGALS1|SLC11A1|LOXL3|RIF1|NFKBID|LRP1|RNF168|SLC15A4|RNF8|PRAM1|RC3H1|SLC18A2|RC3H2|SHB|SMAD7|SHLD1|SOCS5|SHLD2|SHLD3|SNAP23|LGALS8|UNC13D|ZBTB7B|LIG4|CPLX2|RAB27A|SPHK2|RASGRP1|CBL|TP53BP1|CD19|STXBP1|STXBP2|STXBP3|FCER1A|FCGR3A|TAOK3|TCIM|GRP|RIPK2|LGALS3|APLF|ATAD5|KLRF2|VAMP2|VAMP3|BCL3|LAT|BCL6|LAT2|MILR1|CD160|MRGPRX2|NKG7|CD244|PTGDR|PTGDS|RAB44|SNX4|CR1|CD28|S100A13|SNX6|CD40|HAVCR2|SCN11A|HLA-DRB1|IFNL1|IL12B|IL12RB1|STX4|IL18|CLCF1|IL18R1|CORO1A|TBK1|IL21|IL23R|IL27|GRN|IRF8|PIK3R1|TSC1|LILRB1|ERCC1|PGLYRP1|PGLYRP2|PGLYRP3|STAT3|EXOSC3|EXOSC6|RARA|TGFB1|SLAMF6|TREM2|TLR4|FOXP3|VAMP8|ZC3H12A|ZFPM1|ZNF683|ADAM10|BATF|LY9|ADGRE2|CD40LG|MYB|APP|EXO1|HMCES|ANXA1|IL10|SUCNR1|IL2|IL27RA|LEF1|ASCL2|IL6|SOCS3|BCR|NFKBIZ|ADA|EP300|POU2AF1|RAG2|RORA|RELB|SANBR|SEMA4A|STAT4|CCL19|TMEM98|MLH1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,311,ENR,GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,-2.169,1.9E-3,GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,FALSE,GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
15,2.6989700043360201,-2.6989700043360201,2.6989700043360201,-0.998,-0.2218,1.11E-2,0.76700000000000002,BUD13|KHDC4|TXNL4A|U2AF2|RSRP1|USP39|LUC7L|CELF1|LUC7L2|CELF2|LUC7L3|CELF3|CELF4|SCAF11|CELF5|CELF6|SETX|SF1|SF3A1|SF3A2|SF3A3|YTHDC1|SF3B1|SF3B2|SF3B3|SF3B4|NCBP1|SF3B5|SF3B6|CRNKL1|SFSWAP|NOL3|SLU7|SMN1|SMN2|ZRSR2|SNIP1|DDX1|SNRNP200|DDX23|PHF5A|DDX39B|DDX42|DDX46|SNRPA1|SNRPB|SNRPB2|SNRPC|SNRPD1|SNRPD2|SNRPD3|SNRPE|SNRPF|SNRPG|SRPK1|SRPK2|PRPF19|SRPK3|SRSF1|PRPF39|SRSF10|SRSF12|PRPF6|SRSF5|PSIP1|SRSF6|GCFC2|GEMIN2|PTBP2|SRSF9|PUF60|GEMIN6|HTATSF1|RBM5|ISY1|RBMX2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,76,ENR,GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,-2.3041999999999998,2E-3,GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,FALSE,GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY
