NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,Unnamed: 11
GOBP_AEROBIC_RESPIRATION,GOBP_AEROBIC_RESPIRATION,Details ...,190,-0.3168779,-5.074414,0.0,0.0,0.0,7204,"tags=71%, list=39%, signal=115%",
GOBP_OXIDATIVE_PHOSPHORYLATION,GOBP_OXIDATIVE_PHOSPHORYLATION,Details ...,144,-0.356229,-4.8553734,0.0,0.0,0.0,7805,"tags=78%, list=42%, signal=134%",
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,Details ...,75,-0.45692798,-4.6065392,0.0,0.0,0.0,4383,"tags=69%, list=24%, signal=91%",
GOBP_CELLULAR_RESPIRATION,GOBP_CELLULAR_RESPIRATION,Details ...,231,-0.2509769,-4.445191,0.0,0.0,0.0,8102,"tags=69%, list=44%, signal=121%",
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,Details ...,96,-0.38409856,-4.431515,0.0,0.0,0.0,3702,"tags=58%, list=20%, signal=73%",
GOBP_RNA_SPLICING,GOBP_RNA_SPLICING,Details ...,445,-0.17431834,-4.25847,0.0,0.0,0.0,10139,"tags=72%, list=55%, signal=157%",
GOBP_MRNA_PROCESSING,GOBP_MRNA_PROCESSING,Details ...,481,-0.15967931,-4.1034403,0.0,0.0,0.0,12091,"tags=81%, list=66%, signal=231%",
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,Details ...,180,-0.26427647,-4.0533504,0.0,0.0,0.0,5712,"tags=57%, list=31%, signal=82%",
GOBP_MITOCHONDRIAL_TRANSLATION,GOBP_MITOCHONDRIAL_TRANSLATION,Details ...,131,-0.3014749,-4.002438,0.0,0.0,0.0,8535,"tags=76%, list=46%, signal=141%",
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,GOBP_MITOCHONDRIAL_GENE_EXPRESSION,Details ...,169,-0.258772,-3.95689,0.0,0.0,0.0,8562,"tags=72%, list=47%, signal=134%",
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,Details ...,335,-0.18763877,-3.9550524,0.0,0.0,0.0,7428,"tags=59%, list=40%, signal=97%",
GOBP_GOLGI_VESICLE_TRANSPORT,GOBP_GOLGI_VESICLE_TRANSPORT,Details ...,313,-0.1836808,-3.8132927,0.0,0.0,0.0,9607,"tags=70%, list=52%, signal=145%",
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,Details ...,126,-0.28860775,-3.785065,0.0,0.0,0.0,4217,"tags=52%, list=23%, signal=66%",
GOBP_ATP_BIOSYNTHETIC_PROCESS,GOBP_ATP_BIOSYNTHETIC_PROCESS,Details ...,102,-0.32566613,-3.7799459,0.0,0.0,0.0,3601,"tags=52%, list=20%, signal=64%",
GOBP_ELECTRON_TRANSPORT_CHAIN,GOBP_ELECTRON_TRANSPORT_CHAIN,Details ...,122,-0.29565182,-3.7705112,0.0,0.0,0.0,3343,"tags=48%, list=18%, signal=58%",
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Details ...,467,-0.14003082,-3.5058005,0.0,0.0,0.0,8124,"tags=58%, list=44%, signal=101%",
GOBP_MITOCHONDRION_ORGANIZATION,GOBP_MITOCHONDRION_ORGANIZATION,Details ...,420,-0.14842524,-3.4631839,0.0,0.0,0.0,12966,"tags=85%, list=71%, signal=282%",
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,Details ...,305,-0.1729315,-3.3891807,0.0,0.0,0.0,10139,"tags=72%, list=55%, signal=158%",
GOBP_PHOSPHOLIPID_METABOLIC_PROCESS,GOBP_PHOSPHOLIPID_METABOLIC_PROCESS,Details ...,375,-0.15140513,-3.3440282,0.0,0.0,0.0,11888,"tags=79%, list=65%, signal=220%",
GOBP_REGULATION_OF_DNA_REPAIR,GOBP_REGULATION_OF_DNA_REPAIR,Details ...,228,-0.19395441,-3.3074217,0.0,0.0,0.0,12530,"tags=87%, list=68%, signal=270%",
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS,GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS,,490,-0.1267999,-3.285704,0.0,0.0,0.0,13645,"tags=87%, list=74%, signal=326%",
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,,267,-0.1700677,-3.2772875,0.0,0.0,0.0,9386,"tags=68%, list=51%, signal=136%",
GOBP_MACROAUTOPHAGY,GOBP_MACROAUTOPHAGY,,377,-0.14648776,-3.2393203,0.0,0.0,0.0,13997,"tags=90%, list=76%, signal=371%",
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,,139,-0.23092611,-3.2182596,0.0,0.0,0.0,9414,"tags=74%, list=51%, signal=151%",
GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,,312,-0.1573867,-3.2157469,0.0,0.0,0.0,9711,"tags=68%, list=53%, signal=142%",
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,,50,-0.38561693,-3.1761956,0.0,0.0,0.0,3963,"tags=60%, list=22%, signal=76%",
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,,253,-0.16944094,-3.1321118,0.0,0.0,0.0,4633,"tags=42%, list=25%, signal=55%",
GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,,136,-0.2321298,-3.1172287,0.0,0.0,0.0,10909,"tags=82%, list=59%, signal=201%",
GOBP_PURINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,GOBP_PURINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,,187,-0.19731103,-3.0404572,0.0,0.00023631915,0.006,4572,"tags=44%, list=25%, signal=58%",
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT,GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT,,36,-0.41948757,-3.030768,0.0,0.00022844186,0.006,8138,"tags=86%, list=44%, signal=154%",
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS,GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS,,294,-0.14923659,-3.011736,0.0,0.00029439921,0.008,11938,"tags=80%, list=65%, signal=223%",
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,,177,-0.19175385,-3.0096729,0.0,0.00028519923,0.008,4509,"tags=44%, list=25%, signal=57%",
GOBP_GLYCEROLIPID_METABOLIC_PROCESS,GOBP_GLYCEROLIPID_METABOLIC_PROCESS,,383,-0.13185407,-2.9929075,0.0,0.00034613095,0.01,11888,"tags=78%, list=65%, signal=215%",
GOBP_U2_TYPE_PRESPLICEOSOME_ASSEMBLY,GOBP_U2_TYPE_PRESPLICEOSOME_ASSEMBLY,,25,-0.4994642,-2.9822764,0.0,0.00033595064,0.01,4805,"tags=76%, list=26%, signal=103%",
