dataset,weighting,Pre-gastrulation,Post-gastrulation,Tissue-specific,Cell-type specific
Tabula Muris,Unweighted,0.067359851223854,0.10682750037026968,0.3253509306815116,0.5004617177243648
Tabula Muris,Weighted,0.16575485316488947,0.08620479772179263,0.2798375914866477,0.46820275762667024
Tabula Sapiens,Unweighted,0.4564816624244684,0.2429922332797729,0.14455850863997205,0.1559675956557867
Tabula Sapiens,Weighted,0.3759805678833944,0.440751950789045,0.05499137899334646,0.12827610233421413
