NAME,NES,pvalue,FDR
GOBP_CYTOPLASMIC_TRANSLATION,-5.961105,0.0,0.0
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS,-3.2179823,0.0,0.0
GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS,-3.1894424,0.0,2.9007797e-05
GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,-3.1857204,0.0,2.8007527e-05
GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS,-3.1722116,0.0,2.7073944e-05
GOBP_RIBOSOME_BIOGENESIS,-2.847569,0.0,0.00025506888
GOBP_SODIUM_ION_TRANSPORT,-2.7975736,0.0,0.0004049548
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,-2.6799881,0.0,0.00090383727
GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS,-2.6300826,0.0,0.0014267513
GOBP_TYROSINE_METABOLIC_PROCESS,-2.5765095,0.0,0.0018572024
GOBP_TETRAPYRROLE_METABOLIC_PROCESS,-2.5097396,0.0,0.003111912
GOBP_NADPH_REGENERATION,-2.480863,0.0,0.0037344815
GOBP_TETRAPYRROLE_BIOSYNTHETIC_PROCESS,-2.4753585,0.0,0.003821486
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION,-2.4687731,0.0,0.0040084803
GOBP_RESPONSE_TO_METAL_ION,-2.4644973,0.0,0.0040869946
GOBP_ZYMOGEN_ACTIVATION,-2.4089308,0.0,0.0058960696
GOBP_RRNA_PROCESSING,-2.399187,0.0,0.005974019
GOBP_B_CELL_PROLIFERATION,-2.3852687,0.0,0.0064807255
GOBP_STEROID_METABOLIC_PROCESS,-2.3311427,0.0,0.008924274
GOBP_RRNA_METABOLIC_PROCESS,-2.3286572,0.0020408162,0.009021254
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,-2.305615,0.0,0.010170111
GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE,-2.3009663,0.0,0.010408842
GOBP_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS,-2.2627583,0.0019569471,0.013104029
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,-2.2610526,0.0,0.013139105
GOBP_PENTOSE_PHOSPHATE_SHUNT,-2.210221,0.003968254,0.017378075
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,-2.1865766,0.0,0.01957898
GOBP_KERATINIZATION,-2.1800923,0.0,0.02024366
GOBP_PIGMENT_METABOLIC_PROCESS,-2.1796758,0.0019723866,0.020154588
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,-2.1639302,0.0056710774,0.02157134
GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE,-2.1165287,0.0020618557,0.02636439
GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT,-2.1117074,0.002020202,0.026968436
GOBP_PIGMENT_BIOSYNTHETIC_PROCESS,-2.105144,0.0,0.027368216
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,-2.085523,0.004237288,0.02919378
GOBP_T_CELL_SELECTION,-2.0768294,0.006263048,0.030312462
GOBP_POSITIVE_T_CELL_SELECTION,-2.063343,0.0,0.03222446
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,-2.0480206,0.004016064,0.034251645
