__mclCluster,EnrichmentMap::-log10(pvalue) (non_human_up),EnrichmentMap::-log10(pvalue)*sign(NES) (non_human_up),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (non_human_up),EnrichmentMap::ES (non_human_up),EnrichmentMap::fdr_qvalue (non_human_up),EnrichmentMap::fwer_qvalue (non_human_up),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (non_human_up),EnrichmentMap::pvalue (non_human_up),name,selected,shared name
,2.2227164676732301,2.2227164676732301,2.2227164676732301,0.99401197600000002,,6.1275333000000001E-2,,GRP|ANKFN1|NEUROD2|PRKAR1B|GRM7|PDE8B|ATP1A2|COMT|DEAF1|DRD1|LARGE1|DRD4|NPAS2|MEF2C|MDK|ADRA2A|GRPR|HTR1A|VDAC3|EXT1|PENK|MAPK8IP2|BRINP1|EIF4G1|RPS6KB1|UCN|ALS2|CRH|EPHB2|DBH|ASIC4|GABRA5|VDAC1|DPP4|SLITRK4|EIF4E|SLC1A1|HTR2C|ADRB1|GNG7|BCL2|KCTD16|FBXL20|LYPD1|RAG1|ASIC1|GRIK2|NPY2R|MORC1|APOE|NR2E1|MECP2|USP46,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FEAR_RESPONSE,53,ENR,GOBP_FEAR_RESPONSE,1,5.9880239999999998E-3,GOBP_FEAR_RESPONSE,FALSE,GOBP_FEAR_RESPONSE
5,1.85387196432176,1.85387196432176,1.85387196432176,0.98599999999999999,,7.0697029999999994E-2,,CAV3|SLC6A2|WNK3|WNK4|DLG1|DMD|TRPM2|ASIC5|TRPM4|ATP12A|ATP1A1|FGF12|ATP1A2|FXYD1|ATP1A3|ATP1A4|P2RX7|ATP1B1|ATP4A|HCN4|ATP4B|SLC5A10|SLC5A9|BPIFA1|SLC6A16|PCSK9|ACTN4|FXYD3|FXYD4|FXYD6|FXYD7|WNK2|SLC34A1|SLC38A2|SLC5A3|ATP2B4|ATP1B2|SLC20A1|ATP1B3|SLC28A3|RANGRF|FXYD2|SLC4A4|NEDD4L|SCN10A|SCN1A|SLC4A8|SCN1B|SCN2A|SCN3A|SLC17A6|ASIC4|SCN3B|SLC17A7|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SLC38A5|OSR1|SLMAP|NPPA|SNTA1|PKD2|SLC4A10|ASIC2|SLC4A11|SLC9A1|SLC20A2|SLC34A2|SLC9A2|SLC34A3|SLC9A3|SLC9A4|SLC9A5|SLC9A6|TRPV3|SLC6A19|SLC9A7|MCOLN1|SLC9A8|SLC9A9|KCNK3|SLC9B1|UTRN|SLC9B2|SLC9C1|SLC9C2|SHROOM2|TESC|ASIC1|TPCN1|ASIC3|SLC4A7|MCOLN3|CNNM4|SLC17A3|KCNK9|SCNN1B|PKD2L1|GRP|SLC24A4|SLC5A4|SLC8A2|HCN1|HCN3|SLC5A2|SLC6A1|SCN2B|SCN9A|SLC5A5|CHP1|SLC23A1|SCN11A|SLC13A1|AGT|SLC13A4|FGF13|TRPM5|COMMD1|NOS1|SLC4A5|SLC6A4|HCN2|SLC5A11|SCNN1A|SCNN1D|SCNN1G|GRIN2A|SLC13A3|PTPN3|KCNK1|SLC5A6|SLC6A12|SLC6A13|SLC13A2|SLC6A14|SLC13A5|SLC38A1|SLC6A20|SLC17A1|SLC6A8|SLC17A2|SLC17A4|SLC17A8|FXYD5|TPCN2|PRKCE|CNGB1|CNGA1|CNGA3|SLC41A3|SLC8A3|SLC41A1|NALCN|SLC38A4|ANO6|SLC6A11|SLC6A3|SLC24A1|SLC24A2|SLC6A15|GRIN1|SLC24A3|SLC6A17|SLC24A5|SLC6A5|SLC6A6|SLC6A7|SLC6A9|SLC12A1|SLC12A2|SLC8B1|WNK1|SLC4A9|SLC5A1|SLC12A3|SLC6A18|STK39|SLC8A1|CAMK2D,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,182,ENR,GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,1,1.4E-2,GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,FALSE,GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT
,2.3802112069680499,2.3802112069680499,2.3802112069680499,0.99583333299999999,,5.8639589999999998E-2,,ALAD|TMEM14B|ALAS1|CITED1|PMEL|CPOX|GIPC1|UROS|ATP5IF1|RAB38|MC1R|ATP7A|RAPGEF2|WNT5A|PGRMC1|RPE65|APPL1|COX10|DCT|COX15|SLC7A11|CTNS|ABCB10|CDH3|ABCB7|TSPO|TYRP1|FLVCR1|ZEB2|MFSD12|SLC11A2|OCA2|DDT|FXN|SLC45A2|GPR143|TMEM14A|TYR|NFE2L1|ABCB6|IREB2|SLC25A38|SLC25A39|ALAS2|TMEM14C|ASIP|TRPC1|OPN3|SLC24A5|SLC6A9|FECH|HMBS|PPOX|SRRD|UROD|IBA57,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PIGMENT_BIOSYNTHETIC_PROCESS,56,ENR,GOBP_PIGMENT_BIOSYNTHETIC_PROCESS,1,4.1666669999999998E-3,GOBP_PIGMENT_BIOSYNTHETIC_PROCESS,FALSE,GOBP_PIGMENT_BIOSYNTHETIC_PROCESS
,2.3864989529343998,2.3864989529343998,2.3864989529343998,0.9958932237,,5.7702759999999999E-2,,CDH1|HESX1|NEUROD2|CLDN1|NEK7|CAPN3|TRPM2|IQGAP1|CPNE1|INHBB|GLRA1|ATF4|B2M|WNT5A|RASGRP2|KCNA1|CCNB1|CRHBP|MYOG|ECT2|GSK3A|PRKAA2|SLC34A1|ADGRV1|CREB1|DAXX|GUCA1A|GUCA1ANB-GUCA1A|CER1|HFE|EIF2AK3|SERPINF1|HVCN1|KCNJ10|MT3|JUNB|EIF2S1|SLC11A1|RYR1|DLG2|RYR3|ZNF658|AQP2|GABRB3|SCN5A|DPEP1|NFE2L1|HMOX1|TFR2|ABCB6|ID2|GLRA2|PKD2|ATP13A2|RASA4|LIG4|MAP1LC3A|NLGN1|MCOLN1|NRXN1|KCNK3|TIGAR|TUBA1A|BNIP3|BRAF|DLG4|MT1A|MT1B|MT1E|MT1F|MT1H|UCP2|ANK3|MT1M|MT1X|MT2A|HSP90B1|MT4|PPP5C|CYP1A1|PLCG2|NFATC2|ALOX15|ALAD|ADD1|BECN1|ASPH|BACE1|CLIC4|FOS|TF|CACYBP|HPCA|EDN1|ENDOG|CPNE3|KCNB1|LGMN|PPIF|XRCC4|JUND|SUMO1|EEF2K|TFAP2A|MEF2C|CDKN1B|SLC25A23|BMP6|SNCA|SYT1|AQP1|MT1G|NFE2L2|SMPD1|FOSB|SMPD3|CYBB|PRNP|HSD17B1|P2RX4|CARF|CPNE2|TSPO|CPNE4|MICU2|CPNE7|MICU3|CPNE8|PARP1|KCNH1|PRKN|ACER1|SLC13A2|SLC13A5|AKR1C3|ABCC9|MEF2A|SLC25A24|TLR9|CYP1A2|MICU1|FABP4|SLC1A1|ALOX5AP|SLC25A39|HSF1|SLC39A8|SLFN14|SLC41A1|MTF1|NFATC4|APP|SHH|CPNE5|CPNE6|CPNE9|NCSTN|CEBPA|ITPKA|ITPKB|KCNQ3|ITPKC|NPTX1|ADCY1|FBP1|SLC12A2|CACNA1H|CALR|LRRK2|ADCY7|ADCY8|CHP2|CYP11B1|JUN|PRKAA1|SOD1|STK39|RASA4B|RASAL1|CAMK2D,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_RESPONSE_TO_METAL_ION,180,ENR,GOBP_CELLULAR_RESPONSE_TO_METAL_ION,1,4.1067763E-3,GOBP_CELLULAR_RESPONSE_TO_METAL_ION,FALSE,GOBP_CELLULAR_RESPONSE_TO_METAL_ION
,2.71432976660709,2.71432976660709,2.71432976660709,1,,2.9283864E-2,,BMP4|CAV3|MAP3K13|SIX1|FGFR2|LGR4|HOXB7|WNT5A|FGF7|WNT2B|AGT|FKBPL|PDGFA|BCL11A|MAGED1|MDK|GDNF|HGF|CTNNB1|HOXD13|TNF|SIRT6|SIX4|CTNND1|PHB2|SHOX2|SIX2|SMO|TGFB1|ABL1|FGF2|FGFR1|ETV5|PAX8|VEGFA|SNAI2|BTBD7|ESR1|AGTR2|AR|RTN4|LHX1|SHH|NOG|NTN4|WNT2|TACSTD2|SFRP1|BMP7|GREM1|LRRK2|FGF10|SOX9|SULF1|SOX8,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,55,ENR,GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,1,0,GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,FALSE,GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE
4,2.71432976660709,2.71432976660709,2.71432976660709,1,,0,,TRIM16|CASP14|UGCG|VDR|POU3F1|PRKCH|ERRFI1|ZFP36L1|KRT16|DSP|KRT2|WNT5A|PPHLN1|KRT3|IRF6|KRT4|SFN|SHARPIN|CASP3|PAX6|KRT6C|KRT7|KRT72|KRT73|KRT74|KRT77|RBPJ|KRT78|TFAP2C|KRT79|KRT80|KRT81|KRT82|KRT85|KRT86|EPHA2|CDH3|EVPL|KRT10|TCHH|KRT76|DSG4|FOXN1|OVOL2|GRHL1|KRT83|FOXC1|STK4|AQP3|TXNIP|MACROH2A1|PALLD|KDF1|HRNR|PIP5K1A|KLK5|POU2F3|SRSF6|KRT6A|LCE3A|CSTA|MACROH2A2|SAV1|MAFB|PLAAT4|TGM1|HOXA7|IL17A|ZFP36|ALOX15B|ADAM9|FLNB|ETV4|KRT5|SPRR5|EXPH5|SCEL|ZBED2|TP63|JAG1|CLIC4|KRT75|FOSL2|CD109|LATS1|LATS2|DNASE1L2|TMEM79|NUMA1|CYP26B1|EZH2|EXTL3|CDKN1A|INTU|CNFN|SGPP1|KAZN|LCE1C|LCE1E|IVL|LCE3D|LCE3E|IFT74|KRT36|SPRR2B|KRT84|SPRR2D|SPRR2F|SPRR2G|MAP2K1|MED1|PPL|NME2|SPRR3|SLC39A2|KRT1|KRT6B|TSG101|EREG|GRHL2|ACER1|PKP1|ST14|NOTCH1|ABCA12|AKR1C3|WNT16|CDSN|ASAH1|MSX2|YAP1|IL20|CERS3|BCL11B|CYP27B1|ROCK1|CDKN2A|REG3G|S100A7|ANXA1|OPN3|PLEC|FLG|KRT17|PPP3CA|BCR|LORICRIN|SPRR1A|SPRR1B|NFKBIZ|SPRR2E|TGM3|LIPK|LIPM|ROCK2|LIPN|KRT14|NCOA3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_KERATINOCYTE_DIFFERENTIATION,158,ENR,GOBP_KERATINOCYTE_DIFFERENTIATION,1,0,GOBP_KERATINOCYTE_DIFFERENTIATION,FALSE,GOBP_KERATINOCYTE_DIFFERENTIATION
,2.69460520327651,2.69460520327651,2.69460520327651,0.99797979800000003,,4.5413083999999999E-2,,CASQ2|KCNC3|WNK4|HTR2A|DLG1|FXYD1|P2RX7|HCN4|SLC12A6|KCNA1|KCNB2|KCND2|GCK|KCND3|KCNE3|KCNE4|KCNE5|KCNIP1|KCNIP2|KCNC1|KCNJ12|KCNH2|KCNJ3|KCNJ5|HPN|KCNMA1|KCNN2|ANK2|ATP1B2|ATP1B3|KCNT1|NOS1AP|NEDD4L|GHITM|KCNJ2|EDN3|DRD2|NPPA|PKD2|SLC12A4|SLC12A5|SLC12A7|SLC12A8|SLC12A9|TMEM38A|ADORA1|KCNK3|ANK3|MCOLN3|KCNK9|SLC24A4|KCNJ8|KCNK13|KCNK6|KCNB1|KCNE1|LARGE1|SUMO1|ACTN2|TRPM5|KCNA3|KCNA4|KCNA6|KCNA7|KCNC4|KCND1|KCNV1|KCNV2|NOS1|HCN2|PRNP|ABCB8|OXSR1|CCDC51|KCNK1|TMEM38B|ABCC9|WWP2|FXYD5|PTK2B|AKAP6|CNGA4|KCNH6|NALCN|SLC24A1|SLC24A2|SLC24A3|KCNQ3|SLC24A5|NOS3|SLC12A2|KCNK10|STK39|CAV1|CAV3|NSF|KCNQ5|AKAP7|AMIGO1|ATP12A|ATP1A1|ATP1A2|CAB39|ATP1A3|ATP1A4|ATP1B1|KCNK18|ATP4A|ATF4|ATP4B|CD63|KCNQ2|DPP10|DPP6|FXYD3|FXYD4|FXYD6|FXYD7|GAL|GNB2|FLNA|KCNAB1|KCNAB2|KCNAB3|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|YWHAE|FXYD2|KCNIP3|KCNIP4|KCNJ1|KCNJ10|LETM1|KCNJ11|KCNJ13|KCNJ14|BIN1|KCNJ15|KCNJ16|KCNJ18|KCNJ4|KCNJ6|KCNJ9|KCNRG|KCNS1|KCNS2|KCNS3|KEL|LRRC26|SLC17A6|LRRC38|SLC17A7|LRRC52|LRRC55|FHL1|KIF5B|RGS4|KCNA5|KCNH5|SLC9A1|SLC9A2|SLC9A3|SLC9A4|SLC9A5|SLC9A6|SLC9A7|MCOLN1|SLC9A8|SLC9A9|NEDD4|SLC9C1|SLC9C2|TMEM175|SNAP25|GJA5|PKD2L1|GRP|ATP1B4|HCN1|VAMP2|HCN3|KCNC2|CHP1|KCNQ4|DRD1|DRD3|ABCC8|KCNE2|CDK2|KCNMB2|KCNMB4|CDKN1B|KCNK5|KCNT2|ADRA2A|AQP1|KCNH3|KCNH4|KCNH7|KCNH8|KCNK12|KCNK15|KCNK17|KCNK7|KCNN1|TSC1|KCNN3|KCNU1|GALR2|KCNH1|KCNMB1|KCNMB3|SLC1A3|TREM2|CNGB1|KCNN4|KCNQ1|VPS4B|HCRT|OPRK1|ANO6|KCNA2|KCNK2|SLC12A1|CACNA1D|SLC12A3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POTASSIUM_ION_TRANSPORT,229,ENR,GOBP_POTASSIUM_ION_TRANSPORT,1,2.020202E-3,GOBP_POTASSIUM_ION_TRANSPORT,FALSE,GOBP_POTASSIUM_ION_TRANSPORT
10,2.71432976660709,2.71432976660709,2.71432976660709,1,,0,,CASQ2|CSRP3|COMT|ELOVL4|KCNA1|OR2A4|RPE65|CEP250|KCNIP2|PKD1|GUCA1A|CADM1|GUCA1ANB-GUCA1A|GUCY2D|GUCY2F|CD1D|GNGT1|RHO|UNC119|TCAP|CLEC6A|SCN1A|PIEZO1|PIEZO2|PITPNM1|PKD2|LPO|PGLYRP4|HLA-B|SAG|GRIK2|PLCB2|SLC24A4|SSC5D|TAC1|PTPRQ|LY96|SCARB1|GNA11|OPN4|NAIP|OR1D2|TNF|NLRC4|NLRP3|ABCA4|SEMA5B|CHRNA10|CHRNA9|OPN3|TMEM87A|GNAT2|SOD2|PRDM12|CABP4|TRPC3|OR10A2|OR10A3|OR10A6|OR10AC1|OR10AG1|CAV3|OR10D3|OR10G3|OR10G4|AZGP1|OR10G7|TLR1|OR10H1|OR10H3|TLR2|OR10H5|OR10K1|TLR6|OR10K2|OR10Z1|CCDC66|OR11A1|OR11G2|OR11H4|OR13A1|OR13G1|CACNA1F|OR14A16|OR14J1|OR14L1|OR1A1|OR1C1|OR1I1|OR1L6|OR1L8|OR1M1|OR2A1|OR2A12|OR2A14|OR2A25|OR2A42|OR2A5|OR2A7|OR2AG1|OR2AG2|OR2AJ1|OR2AK2|OR2AP1|FOXF1|OR2B11|OR2B6|PNPLA2|GRM6|OR2C1|OR2C3|OR2D3|OR2F1|OR2G6|ANO3|OR2H1|OR2H2|OR2J1|OR2J2|OR2K2|OR2L13|OR2L2|OR2L3|OR2L5|OR2L8|ATP8A2|OR2M3|OR2M4|OR2T10|OR2T11|OR2T12|OR2T2|OR2T6|OR2T7|OR2T8|OR2V2|OR2W3|OR2Z1|OR3A1|OR3A2|OR3A3|OR4C11|OR4C6|OR4D1|OR4D10|OR4D2|OR4D9|OR4E1|OR4E2|OR4F15|OR4F17|TGFB3|OR4K1|OR4K13|RCVRN|OR4K17|OR4K2|OR4N2|OR4Q3|OR51A4|OR51A7|OR51B5|OR51D1|OR51E1|STIM1|OR51I1|GRK1|OR51I2|GRK4|OR51M1|TMC1|OR52A1|TMC2|GRK7|OR52A5|OR52E4|OR52E5|OR52H1|OR52I2|PDC|OR52K1|C4B|OR52K2|OR52N1|OR52N2|OR52N4|OR52N5|TIMELESS|OR52P1|OR56A1|OR56A3|OR56A4|OR56B1|OR5A1|OR5AS1|ASIC3|OR5AU1|CA6|OR5B2|OR5B21|OR5H1|CST1|OR5H14|CST2|OR5K1|CST4|OR5M1|GNAT1|OR5P2|TTN|GNAT3|OR5P3|OR5V1|OR6A2|OR6B1|PIGR|OR6C1|PIP|OR6C2|PKD1L3|OR6C4|PKD2L1|OR6C6|OR6C74|TAS1R1|OR6C75|TAS1R2|OR6F1|TAS1R3|OR6J1|TAS2R1|OR6N1|TAS2R10|OR6N2|TAS2R13|COL11A1|OR6P1|TAS2R14|OR6Y1|TAS2R19|OR7A10|TAS2R20|BACE1|OR7A17|TAS2R3|OR7A5|TAS2R30|OR7C1|TAS2R31|OR7D2|TAS2R39|OR7D4|TAS2R4|OR7G2|TAS2R42|OR8A1|TAS2R43|OR8B12|TAS2R46|OR8B8|TAS2R5|OR8D1|TAS2R50|OR8D4|TAS2R60|OR8G5|TAS2R9|OR8H1|TRPV1|OR8H2|OR8J2|OR8J3|CALM2|OR8K3|OR9G1|OR9G4|SCN11A|OR9K2|EXTL3|OR9Q1|KCNMB2|OR9Q2|KCNMB4|FAP|FFAR4|GPR52|PCP2|RGR|CTNNB1|RRH|DACH1|SRPX|TREM2|TMEM120A|KCNQ1|REEP6|GNGT2|LRIT1|PLEKHB1|PRPH2|KCNK2|RBP4|FECH|NR2E3|NR2F6|MYC|REST|HTR2A|NTRK1|OR2AT4|JUP|NMT1|DRGX|ADGRV1|CRTAM|HPN|NOX3|CXCL12|LXN|MMP24|RYR2|SCRN3|SMO|NMT2|ATF2|ASIC2|ADORA1|KCNK3|CALM3|OR51E2|P2RX2|CAMKMT|TAC4|PDE6B|PDE6C|FYN|ITGA2|ASPH|EYS|GJA10|RGS9BP|ROM1|KIT|LBP|NGFR|LHFPL5|NR4A1|PDZD7|PAK1|STRC|PECAM1|RTP2|RTP3|RTP4|RTP5|PTK2|PTPRJ|CACNA2D4|ENG|EPHB1|PKD1L1|PKD1L2|PKD2L2|PKDREJ|SLC24A2|WDR47|GPR88|TACR1|OR5AN1|PPEF1|PPEF2|CALM1|CDHR2|CYB5R4|CDH2|OTOP1|SLC11A2|NPFFR2|ANO1|MKKS|NOD1|NOD2|PHF24|PJVK|GNAQ|GUCA1B|OPN1SW|OPN5|CDS1|SCN9A|SERPINE2|TRPA1|CLEC7A|DISC1|HLA-A|HLA-DRB1|SYT1|RP1|TTR|TSPO|PGLYRP1|PGLYRP2|KCNMB1|OR10J1|PGLYRP3|KCNMB3|AIPL1|TLR4|TLR9|OR10A4|CNGB1|CRB1|BEST1|CACNB4|TULP1|CASR|NTSR1|WHRN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DETECTION_OF_STIMULUS,418,ENR,GOBP_DETECTION_OF_STIMULUS,1,0,GOBP_DETECTION_OF_STIMULUS,FALSE,GOBP_DETECTION_OF_STIMULUS
10,2.71432976660709,2.71432976660709,2.71432976660709,1,,0,,CASQ2|OR2AT4|OR2A4|KCNIP2|DRGX|RYR2|LPO|KCNK3|CALM3|OR51E2|P2RX2|PLCB2|SLC24A4|ASPH|SSC5D|LBP|LY96|SCARB1|NR4A1|OR1D2|RTP2|RTP3|RTP4|RTP5|ENG|GNAT2|SOD2|OR10A2|OR10A3|OR10A6|OR10AC1|OR10AG1|OR10D3|OR10G3|OR10G4|AZGP1|OR10G7|OR5AN1|TLR1|OR10H1|OR10H3|TLR2|OR10H5|OR10K1|TLR6|OR10K2|OR10Z1|OR11A1|OR11G2|OR11H4|OR13A1|OR13G1|OR14A16|OR14J1|OR14L1|OR1A1|OR1C1|OR1I1|OR1L6|OR1L8|OR1M1|OR2A1|OR2A12|OR2A14|CALM1|OR2A25|OR2A42|OR2A5|OR2A7|OR2AG1|OR2AG2|OR2AJ1|OR2AK2|OR2AP1|OR2B11|OR2B6|OR2C1|OR2C3|OR2D3|OR2F1|OR2G6|OR2H1|CYB5R4|OR2H2|OR2J1|OR2J2|OR2K2|OR2L13|OR2L2|OR2L3|OR2L5|OR2L8|OR2M3|OR2M4|OR2T10|OR2T11|OR2T12|OR2T2|OR2T6|SLC11A2|OR2T7|OR2T8|OR2V2|OR2W3|OR2Z1|OR3A1|OR3A2|OR3A3|OR4C11|OR4C6|OR4D1|OR4D10|OR4D2|OR4D9|OR4E1|OR4E2|OR4F15|OR4F17|TGFB3|OR4K1|OR4K13|OR4K17|OR4K2|OR4N2|OR4Q3|OR51A4|OR51A7|OR51B5|OR51D1|OR51E1|STIM1|OR51I1|OR51I2|OR51M1|OR52A1|OR52A5|OR52E4|OR52E5|OR52H1|OR52I2|OR52K1|C4B|OR52K2|OR52N1|OR52N2|OR52N4|OR52N5|NOD2|OR52P1|OR56A1|OR56A3|OR56A4|OR56B1|OR5A1|OR5AS1|ASIC3|OR5AU1|CA6|OR5B2|OR5B21|OR5H1|CST1|OR5H14|CST2|OR5K1|CST4|OR5M1|GNAT1|OR5P2|OR5P3|OR5V1|OR6A2|OR6B1|PIGR|OR6C1|PIP|OR6C2|PKD1L3|OR6C4|PKD2L1|OR6C6|OR6C74|TAS1R1|OR6C75|TAS1R2|OR6F1|TAS1R3|OR6J1|TAS2R1|OR6N1|TAS2R10|OR6N2|TAS2R13|OR6P1|TAS2R14|OR6Y1|TAS2R19|OR7A10|TAS2R20|OR7A17|TAS2R3|OR7A5|TAS2R30|OR7C1|TAS2R31|OR7D2|TAS2R39|OR7D4|TAS2R4|OR7G2|TAS2R42|OR8A1|TAS2R43|OR8B12|TAS2R46|OR8B8|TAS2R5|OR8D1|TAS2R50|OR8D4|TAS2R60|OR8G5|TAS2R9|TRPA1|OR8H1|TRPV1|OR8H2|CLEC7A|OR8J2|OR8J3|CALM2|OR8K3|OR9G1|OR9G4|OR9K2|EXTL3|OR9Q1|KCNMB2|OR9Q2|KCNMB4|FFAR4|SYT1|KCNMB1|OR10J1|KCNMB3|TREM2|TLR4|TLR9|OR10A4|CNGB1|CASR,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DETECTION_OF_CHEMICAL_STIMULUS,251,ENR,GOBP_DETECTION_OF_CHEMICAL_STIMULUS,1,0,GOBP_DETECTION_OF_CHEMICAL_STIMULUS,FALSE,GOBP_DETECTION_OF_CHEMICAL_STIMULUS
4,2.71432976660709,2.71432976660709,2.71432976660709,1,,0,,CASP14|KRT5|KRT16|KRT75|KRT2|TMEM79|PPHLN1|CYP26B1|KRT3|KRT4|SFN|SHARPIN|CNFN|KRT6C|KAZN|KRT7|KRT72|LCE1C|KRT73|LCE1E|IVL|KRT74|LCE3D|KRT77|LCE3E|KRT78|KRT79|SPRR2B|KRT80|KRT84|SPRR2D|KRT81|SPRR2F|KRT82|SPRR2G|KRT85|KRT86|PPL|CDH3|EVPL|SPRR3|TCHH|KRT1|KRT76|KRT6B|KRT83|ABCA12|CDSN|HRNR|KLK5|KRT6A|CERS3|LCE3A|KRT17|LORICRIN|SPRR1A|SPRR1B|SPRR2E|TGM3|TGM1|LIPK|LIPM|LIPN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_KERATINIZATION,63,ENR,GOBP_KERATINIZATION,1,0,GOBP_KERATINIZATION,FALSE,GOBP_KERATINIZATION
2,2.71432976660709,2.71432976660709,2.71432976660709,1,,2.9926939E-2,,THBS1|CUZD1|HP|HPR|PLAT|PLAU|CTSL|VSIR|GGT1|KLK3|S100A10|SERPINE2|PGK1|CLEC3B|CTSZ|F11|ANXA2|C1R|F12|C1RL|MMP14|F9|FGG|KLK1|KLK2|FURIN|HPN|SERPINE1|ENO1|PLGRKT|PRSS3|THBD|OMA1|PRSS12|MELTF|KLKB1|RUNX1|CTSH|SERPINF2|FGA|DHCR24|FGB|HGFAC|PLAUR|APOH,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ZYMOGEN_ACTIVATION,45,ENR,GOBP_ZYMOGEN_ACTIVATION,1,0,GOBP_ZYMOGEN_ACTIVATION,FALSE,GOBP_ZYMOGEN_ACTIVATION
,2.70329138246161,2.70329138246161,2.70329138246161,0.99801980199999996,,2.0895556000000001E-3,,NEDD4L|ITSN2|SYT17|UNC13A|RIMS2|SLC23A2|ATG16L1|CDKL3|SMURF1|LLPH|SPAG9|CPNE5|MUL1|CPNE6|BCL11A|CPNE9|SLC9A6|CYFIP2|SH3GL2|TMEM108|WASF1|PLAA|SYT1|SYT2|SYT3|OSTN|RNF157|STK11|CACNG7|RIMS1|AUTS2|RASAL1|SYT4|CYFIP1|PRKN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DENDRITE_EXTENSION,35,ENR,GOBP_DENDRITE_EXTENSION,1,1.9801979999999999E-3,GOBP_DENDRITE_EXTENSION,FALSE,GOBP_DENDRITE_EXTENSION
,2.71432976660709,2.71432976660709,2.71432976660709,1,,7.8454149999999997E-3,,MC2R|HCRTR1|PMCH|GPR149|RXFP4|MCHR1|OPRM1|GLRA1|SSTR2|RAPGEF2|TYRO3|GAL|SORCS3|CMKLR2|PPY|AGRP|GALP|NPFFR2|SSTR5|GPR143|POMC|NTS|NPPA|GLRA2|GLRB|SORCS1|SORL1|SORT1|SSTR1|GPR171|NPY|SORCS2|PYY|GNAQ|PROKR1|PROKR2|GRP|NXPH4|TAC1|CYSLTR1|NPB|NPW|PRLHR|ADCYAP1|GPR139|LTB4R2|GPR83|GRPR|HCRTR2|LTB4R|PENK|NMUR1|NMUR2|PROK2|NTSR2|PTGDR2|OPRD1|UCN|CCKBR|OPRL1|GALR2|SSTR4|NPY5R|ECEL1|GPR37|CPE|NMU|TENM1|HCRT|NPSR1|ECRG4|OPRK1|RELA|BRS3|NMB|NMBR|NPY1R|QRFP|GALR1|GALR3|TAC3|PCSK1N|UTS2R|PNOC|NTSR1|SSTR3|CYSLTR2|SCG5|GPR84|NPFF|KISS1R|NPY2R|MCHR2|NMS|NPBWR1|CRCP|NPBWR2|NPFFR1|NXPH2|NXPH3|PDYN|PTH2|QRFPR,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY,103,ENR,GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY,1,0,GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY,FALSE,GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY
