__mclCluster,EnrichmentMap::-log10(pvalue) (noncon_human_down),EnrichmentMap::-log10(pvalue)*sign(NES) (noncon_human_down),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (noncon_human_down),EnrichmentMap::ES (noncon_human_down),EnrichmentMap::fdr_qvalue (noncon_human_down),EnrichmentMap::fwer_qvalue (noncon_human_down),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (noncon_human_down),EnrichmentMap::pvalue (noncon_human_down),name,selected,shared name
15,2.0890214747373399,2.0890214747373399,2.0890214747373399,0.99185336000000002,,5.4897662E-2,,TICAM2|CAV1|HIF1A|RNF113A|PPARG|ANGPT1|CCL5|CACTIN|PPP2CB|TLR2|PYCARD|TNFAIP3|HSPA1B|CPNE1|IL1R2|NR1H2|NR1H3|NR1H4|MAP2K5|CD74|WNT5A|BIRC7|CCDC3|CISH|PAFAH1B1|TRIM41|CASP4|HIPK1|MIB2|IL1RN|TRIM56|LRRC70|TRIM6|NKIRAS1|PIAS3|TRAIP|NKIRAS2|PXDN|SHARPIN|SPPL2A|SPPL2B|TTLL12|CDC37|TLE5|ARG1|TNFRSF11B|CREBRF|UBE2K|VRK2|PTPRC|USP18|CSF1|USP27X|USP29|PTPN11|PIAS4|IL6ST|CARD8|XIAP|CASP1|YTHDF2|YTHDF3|CASP8|H2BC11|STAT2|TMC8|ZBP1|CD300LF|OTOP1|CXCR4|DHX9|ZNF675|CNOT7|CYLD|DCST1|ECM1|EIF4E2|F2RL1|FADD|GFI1|GAS6|GIGYF2|GPS2|TAF9|STING1|PARP9|CD24|CDK5R1|HPX|HSPA1A|IFIH1|AGPAT1|AGPAT2|IKBKB|IKBKE|IRAK1|RFFL|IL1R1|IRAK2|IRAK3|APOA1|IRF3|IRF7|RIPK2|SAMHD1|USP25|AXL|CARD16|DNAJA3|PELI3|TNFRSF1A|TSLP|EDN1|LSM14A|METTL3|CD40|SPHK1|MAPKAPK2|MAVS|NOL3|C1QTNF4|MMP12|DICER1|TBK1|NAIP|EXT1|PALM3|ADAR|IL36RN|GSTP1|ISG15|MED1|NLRC5|TRIM32|NLRP2B|IRGM|RABGEF1|PADI2|NLRP6|MAPK7|OAS3|OTUD4|PRKN|CLDN18|OTULIN|PARP14|SLIT3|TREM2|ULK1|TLR4|IL7|TXK|TRIM44|PTPN1|PTPN2|PTPN6|ADAM10|ADAM17|PYDC1|ADIPOQ|ROBO1|MMP8|MUL1|OAS1|RIGI|SH2B3|SPATA2|SIGIRR|NRDC|IL6|RNF185|LAPTM5|TREX1|KLF4|SLIT2|RIPK1|RBM47|TRAF2|STAP1|SMIM30|SYK|TANK|ANXA4|TAX1BP1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,184,ENR,GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,1,8.1466400000000001E-3,GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,FALSE,GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS
2,2.7050079566407099,2.7050079566407099,2.7050079566407099,0.99802761340000001,,1.0367718499999999E-2,,ZWINT|FEM1B|NABP2|FZR1|CCAR2|IER3|CDC5L|MAD2L2|EIF2AK4|SDE2|CENPF|MRE11|CDK5RAP2|MRNIP|NBN|CCNB1|CCND1|CDK1|PPP1R10|CDK5RAP3|CHEK2|RAD17|CHMP4C|PTPN11|BRSK1|HORMAD1|PLK1|RINT1|PRKDC|BRCA2|RAD50|BRIP1|RAD51|CEP63|KLHL22|CDC45|CLSPN|CRY1|TICRR|DTX3L|PABIR1|RPA2|TIPIN|DONSON|EME1|EME2|ETAA1|MAP3K20|NDC80|MBTPS2|FOXN3|FOXO4|FANCD2|GNB1L|PLK3|SETMAR|GEN1|HINFP|ATF2|MSH2|HUS1|PROX1|HUS1B|MDC1|TRIAP1|INIP|MUC1|SYF2|NAE1|KNTC1|NEK11|GIGYF2|ORC1|MUS81|TP53|NABP1|TIMELESS|PARP9|TP53BP1|RAD1|RAD9A|RAD9B|UIMC1|IK|RPS27L|STK33|STK38|RBBP8|KNL1|TAOK1|TAOK3|RFWD3|TELO2|RHNO1|TIPRL|ATM|RPA4|TTI1|TTI2|BRD4|BUB1|E2F1|AURKB|MAD1L1|USP28|DNA2|MAD2L1BP|WDR76|XPC|BLM|ZFYVE19|NOP53|CAMSAP3|TOPBP1|SKA1|TRIP13|SKA3|XRCC3|TPR|LYN|CDC6|CDK2|CDKN1A|ZW10|CDT1|DGKZ|ZNF830|ANAPC15|TRIM39|INTS3|APC|INTS7|DUSP1|BARD1|DYNC1LI1|MBTPS1|UFL1|FBXO4|CDC20|PRP4K|USP44|ABRAXAS1|PRPF19|CHFR|CLOCK|RNASEH2B|ATR|ATRIP|BABAM1|VPS4A|BABAM2|MAPK14|WAC|BRCA1|BRCC3|DTL|NSUN2|TAOK2|CHEK1|CUL4A|BIRC5|BUB1B|PRAP1|BUB3|CDCA8|HASPIN|TREX1|INCENP|LCMT1|ERCC6|MAD2L1|DOT1L|CDC14B|FBXO31|NUF2|PSMG2|SPC24|SPC25|SPDL1|FBXO6|TEX14|TTK|H2AX|ZNF207|ZWILCH,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,185,ENR,GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,1,1.9723865999999998E-3,GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,FALSE,GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING
3,2.3900514704013198,2.3900514704013198,2.3900514704013198,0.99592667999999995,,4.1909176999999999E-2,,P2RX7|ATP6AP1|ATP6AP2|ATP6V0A1|RAB14|GAA|ATP6V0B|ATP6V1A|RAB34|ATP6V1D|CHMP1A|CHMP1B|CHMP2A|ATP6V1F|CHMP2B|RAB7B|CHMP3|PI4KB|CHMP4C|CHMP5|ATP6V1H|CHMP6|CHMP7|MTOR|RNASEK|PIKFYVE|AP3B1|LAMP2|MCOLN1|VPS35|PLA2G5|PPT1|TCIRG1|TMEM175|CHMP4A|CHMP4B|CLN8|AP5Z1|RAB39A|ARL8B|BECN1|RUFY4|SNAPIN|CLN3|ABCA1|ACP2|SPG11|AKTIP|ARSB|ARSG|ATP10B|CLN5|CLN6|CLVS1|CLVS2|CORO1A|CREG1|FHIP1B|FNIP1|GNPTAB|GRN|HEXA|LIPA|HOOK1|HOOK2|HOOK3|HPS1|HPS4|RAB7A|HSD17B1|IRGM|LAMTOR1|LAPTM4B|LYSET|MBTPS1|MYO7A|NAGLU|NAGPA|OCA2|PPP3CB|RAB20|SLC45A2|SPNS1|ATP6V0C|SCARB2|SRPX|SYT7|TASL|TFE3|TFEB|TMEM106B|TMEM165|VIPAS39|TMEM63A|TMEM9|TPCN2|TPP1|HEXB|GBA1|VPS18|VPS33A|WASHC5|VPS33B|ZKSCAN3|MFSD8|ZFYVE26|LAMP1|LAPTM5|TREX1|FLCN|LRRK2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_LYTIC_VACUOLE_ORGANIZATION,111,ENR,GOBP_LYTIC_VACUOLE_ORGANIZATION,1,4.0733200000000001E-3,GOBP_LYTIC_VACUOLE_ORGANIZATION,FALSE,GOBP_LYTIC_VACUOLE_ORGANIZATION
23,1.7915151894126,1.7915151894126,1.7915151894126,0.98383838300000004,,5.9062737999999997E-2,,UBR2|HIF1A|RPS6|SAMTOR|SHQ1|CCL5|CRYBA1|ITFG2|PDCD6|GNA12|RRAGC|AKT1|MLST8|OGT|EPM2A|ROS1|EVA1A|RPS6KA6|RPS6KA4|RPS6KA5|C9ORF72|SESN2|GSK3A|OTUB1|FAM83D|GSK3B|PRKAA2|PELI1|HDAC3|CLEC16A|RPTOR|CTNS|YWHAZ|LEP|SRC|SAR1A|SAR1B|MTOR|KLHL22|SEC13|CSNK1A1|AKT3|DEPDC5|DEPTOR|PIP4P1|USP7|SIRT1|PKHD1|GPR137|LARP1|F7|NLK|NPRL2|YWHAG|NPRL3|ZMPSTE24|OTUD7B|F10|RNF152|RRAGB|RRAGD|GAS6|GATA3|UBE2N|RPS6KA2|STK11|RFFL|SEH1L|RBX1|TIPRL|RHEB|ATM|TTI1|DYRK3|SESN1|SESN3|USP4|SMCR8|ENDOG|RNF167|PRKACB|CCDC88A|PINK1|DISC1|DGKQ|CARD11|EIF4EBP1|NPC1|TBK1|OTUD5|FNIP1|LIN28A|NCKAP1L|LIPA|RPS6KB1|ARAF|UBE2D1|F3|TMEM127|TSC1|CUL3|TSC2|LAMTOR1|UBE2W|UBE3A|ATXN3|UBR1|AKT1S1|BMAL1|CASTOR1|ARMH4|CASTOR2|EIF4EBP2|PRMT1|FNIP2|GPR137C|TREM2|XBP1|GPR155|HTR6|PRR5L|USP9X|LAMTOR2|PIM1|PREX1|TBC1D7|GPAT3|LAMTOR3|MAPKAP1|LARS1|MAT2A|MINAR1|MIOS|PPDPF|PREX2|LAMTOR5|PRR5|GBA1|RELN|RHEBL1|RPS6KA1|RPS6KB2|SIK3|SLC38A9|GOLPH3|SPAAR|SRMS|STAMBPL1|WAC|MFSD8|SYAP1|MTM1|TBCK|WDR24|TNFAIP8L1|GPR137B|USP32|KICS2|WDR59|KPTN|LAMTOR4|RICTOR|MEAK7|PIK3CA|RRAGA|SH3BP4|SZT2|DDIT4|VHL|PRKACA|RPS6KA3|EP300|FLCN|MAPK3|MAPKAPK5|PIH1D1|PRKAA1|FBXO9|SYK,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TOR_SIGNALING,179,ENR,GOBP_TOR_SIGNALING,1,1.6161617E-2,GOBP_TOR_SIGNALING,FALSE,GOBP_TOR_SIGNALING
9,1.8521312996433601,1.8521312996433601,1.8521312996433601,0.98594377499999997,,6.9860733999999994E-2,,RNPS1|CSDE1|AKT1|GTPBP1|HSPA1B|NUDT16|PARN|SMG5|SMG6|CNOT7|PABPN1L|SRSF1|PAIP1|XRN1|SYNCRIP|GIGYF2|TAF15|TARDBP|THRAP3|AGO1|AGO2|AGO3|BOLL|IKBKE|BTG2|CACNG7|CALCR|ZFP36|CAPRIN1|CARHSP1|CNOT1|CNOT10|CNOT11|CNOT2|CNOT3|CNOT4|CNOT6|CNOT8|CNOT9|CPEB3|CTIF|SENP1|UPF1|DAZL|UPF3A|DCP1A|E2F1|UPF3B|DCP1B|DHX34|DIS3|GTPBP2|DIS3L|HBS1L|PRKCD|VIP|DND1|DXO|EDC3|EDC4|PELO|YBX1|EIF3E|EIF4ENIF1|ERI1|ETF1|MAPKAPK2|EXOSC4|EXOSC5|SKIC2|ZC3H14|FBLL1|SKIC3|FTO|FXR2|GDNF|GSPT1|NOCT|GSPT2|GTSF1|HNRNPAB|IGF2BP1|PRKCA|TRIM71|A1CF|IGF2BP2|IGF2BP3|MYD88|LARP1B|LARP4B|SMG1|ALKBH5|LSM14B|ANGEL2|MEX3D|APOBEC1|MOV10|MRTO4|NANOS1|NANOS2|EXOSC2|NANOS3|EXOSC7|NICOL1|EXOSC8|EXOSC9|NT5C3B|NUDT12|VIM|PATL1|CNOT6L|PATL2|PIWIL1|PIWIL2|PKP1|PLEKHN1|PNLDC1|PNRC1|CSDC2|PNRC2|PRR5L|PYM1|RBM33|RBM46|DHX36|RIDA|FASTKD5|HNRNPA0|SAMD4A|SAMD4B|SECISBP2|AXIN2|PUM1|SERBP1|ROCK1|SLFN14|MTPAP|SMG8|SMG9|NBDY|SND1|TENT5A|TENT5B|TENT5C|SKIC8|TENT5D|TNRC6A|PAN2|TNRC6B|PAN3|TNRC6C|TOB1|PNPT1|TRAF5|TTC5|PDE12|PUM2|TUT4|TUT7|UPF2|RNH1|YBX3|YTHDF1|ZAR1|ZC3H12D|RNASEL|ZFP36L2|ZHX2|TRAF2|SSB|TBRG4|TENT2|TENT4A|TENT4B|NBAS|TIRAP|AGO4|CASC3|TUT1|XRN2|ZFP36L1|CELF1|ZCCHC7|CIRBP|DIS3L2|NUDT16L1|PIAS4|DCPS|SMG7|YTHDF2|YTHDF3|ZC3HAV1|DDX5|ELAVL1|SLC11A1|DHX9|POLR2G|EIF4A3|ELAVL4|PKP3|ERN1|RC3H1|RC3H2|EXOSC10|FASTK|FMR1|FUS|LARP1|MEIOC|HNRNPC|HNRNPU|HSPA1A|FASTKD2|FASTKD3|TESK1|ATM|KHSRP|LSM1|LSM2|ARID5A|LSM4|LSM5|LSM6|LSM7|PABPC4|TNKS1BP1|MAGOH|MAGOHB|METTL14|METTL16|METTL3|TRAF3IP2|NCBP1|FAM76B|NCBP2|FXR1|NPM1|NRDE2|PABPC1|DCP2|PCBP4|EXOSC3|EXOSC6|SCGB1A1|IREB2|ZC3H12A|APEX1|MAPK14|QKI|HNRNPD|RBM10|RBM24|FASTKD1|RBM38|ROCK2|RBM47|RBM8A|SUPV3L1|MLH1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MRNA_CATABOLIC_PROCESS,259,ENR,GOBP_MRNA_CATABOLIC_PROCESS,1,1.4056225E-2,GOBP_MRNA_CATABOLIC_PROCESS,FALSE,GOBP_MRNA_CATABOLIC_PROCESS
,2.71432976660709,2.71432976660709,2.71432976660709,1,,3.2490644999999999E-2,,SELENOS|IRF7|MIF|CCL5|GAS6|GHSR|GATA1|ITPKB|CCR5|NOD2|EPO|CLEC5A|KITLG|SNAI2|STAT5B|FCER1G|MAEA|STAT5A|APOH|BCL2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS,20,ENR,GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS,1,0,GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS,FALSE,GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS
3,2.71432976660709,2.71432976660709,2.71432976660709,1,,3.4860946E-4,,MTMR3|ATG12|ATG2A|ATG2B|ATG3|P2RX7|EPM2A|GAA|GABARAPL1|PSEN1|PI4KB|MTOR|PIK3C2B|PIK3C3|PIKFYVE|PIP4K2A|AP3B1|PIP4K2B|PIP4K2C|MFN2|ATF2|ATP13A2|NPR2|RB1CC1|STBD1|NDP|PLA2G5|BNIP3|PPT1|WDR45|WDR45B|WIPI1|WIPI2|CHMP4A|CHMP4B|CLN8|AP4M1|AP5Z1|EMC6|ARL8B|NUPR1|CLN3|PINK1|FEZ1|SH3GLB1|RAB3GAP1|RAB3GAP2|RAB7A|IRGM|MAN2A1|ATP6V0C|SCARB2|GABARAPL2|GBA1|MOAP1|MFSD8|MTM1|LAMP1|LAPTM5|TREX1|VPS54|LRRK2|AMBRA1|ARFIP2|ATG10|ATG101|ATG13|ATG16L1|ATG16L2|ATG4A|ATG4B|ATG4C|ATG4D|ATG5|ATG7|ATG9A|ATP6AP1|ATG9B|ATP6AP2|ATP2A2|ATP6V0A1|RAB14|RAB1A|BAG3|RAB1B|ATP6V0B|C9ORF72|RAB33B|ATP6V1A|RAB34|CHEK2|ATP6V1D|CHMP1A|CHMP1B|CHMP2A|ATP6V1F|CHMP2B|RAB7B|CHMP3|CHMP4C|CHMP5|ATP6V1H|CHMP6|CHMP7|CTSD|DNAJC16|EFNB1|ELAPOR1|RNASEK|ELAVL1|SCFD1|EPHB2|SEC22B|FEZ2|GABARAP|IFT20|IFT88|IRGQ|LAMP2|LRBA|LRSAM1|MAP1LC3A|MAP1LC3B|MAP1LC3B2|MAP1LC3C|STX17|MCOLN1|VPS35|TBC1D14|STING1|TCIRG1|TMEM175|NSFL1C|PACS2|PHF23|RAB19|RAB23|RAB33A|RAB39A|RAB43|RAB5A|RALB|RETREG1|RETREG2|RETREG3|ATG14|ATM|BECN1|RNF186|RNF5|RUFY4|SMCR8|SMURF1|SNAPIN|SNX18|SNX30|SNX4|SNX7|ABCA1|ACP2|SPG11|AKTIP|ANXA2|ARSB|ARSG|ATP10B|B4GALNT1|STX12|CLN5|CLN6|TBC1D12|CLVS1|CLVS2|CORO1A|CREG1|EXT1|FHIP1B|FNIP1|TMEM39A|GNPTAB|TMEM41B|GRN|HEXA|TOM1|HID1|LIPA|TP53INP1|HOOK1|TP53INP2|HOOK2|TRAF6|HOOK3|HPS1|TRIM32|HPS4|HSD17B1|EHMT2|LAMTOR1|FIG4|LAPTM4B|LYSET|MBTPS1|MYO7A|UBQLN1|NAGLU|UBQLN2|NAGPA|UBXN2A|OCA2|UBXN2B|PPP3CB|RAB20|SLC45A2|SPNS1|SRPX|ULK1|SYT7|ULK2|TASL|ULK3|TFE3|TFEB|TMEM106B|TMEM165|VIPAS39|TMEM63A|VMP1|TMEM9|VPS16|TPCN2|TPP1|HEXB|VPS11|VPS18|VPS33A|WASHC5|VPS33B|ZKSCAN3|VPS4A|VPS4B|ZFYVE26|FLCN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VACUOLE_ORGANIZATION,242,ENR,GOBP_VACUOLE_ORGANIZATION,1,0,GOBP_VACUOLE_ORGANIZATION,FALSE,GOBP_VACUOLE_ORGANIZATION
,2.4141373562346402,2.4141373562346402,2.4141373562346402,0.99614643540000003,,2.9627156000000002E-2,,IAPP|GIPC1|MTMR9|AKT2|HSPA1B|HSP90AB1|DAZAP2|C10ORF90|CD74|CD81|PINX1|PPP1R10|PDCD10|PTGES3|AAK1|ABTB3|HCFC1|ADGRV1|CREB1|AFM|AHSA1|AHSP|ANK2|IGF1|APTX|ASDURF|SENP2|ATP1B2|ATP1B3|B4GALT5|BAG1|SIRT6|BRINP1|CBLC|ZBED3|CDC37L1|CDKN2AIP|CPN2|SRC|CREBL2|CRTAP|CTNND1|MT3|CEP63|DAD1|MTOR|DDI1|DDI2|NR1D1|DDOST|DNAAF10|DNAAF2|MDM2|TCP1|DSC3|SMO|DSG1|NEDD4L|DSG3|DVL3|STK3|EFNA1|STK4|FREY1|HAPSTR2|HIP1|NDC80|PANO1|HYPK|ID1|IFI30|PPP1CA|IFT46|INSC|ISOC2|KDF1|UBE2B|KLF1|USP37|LSS|USP7|MAPK8IP3|MDM4|MOSMO|MYLIP|WIZ|NAA15|NAA16|NAA30|NCKAP1|AURKA|NLK|OTUD3|P3H1|PAQR4|PDCL3|BCL2|PDRG1|FLOT1|PER3|FLOT2|PFDN2|PFDN6|PFN1|PFN2|TADA3|RABL3|TRIM37|RNF149|RPAP3|TP53|BAG6|RPS7|USP33|SAV1|UXT|SERF1A|TAF9|SERF1B|TARDBP|CAMLG|SERF2|SOX17|SOX4|SPAG1|TBX3|TESC|TMC6|TMEM25|TMEM88|TRIM24|TSPAN1|USP12|USP2|USP24|CLU|RAD23A|RPL23|USP34|USP35|USP40|USP42|USP46|USP47|COA8|USP48|USP9Y|UTP25|SUGT1|TAF1|GET1|ASPH|RPL11|BBOF1|GET4|DNAJA3|SIAH1|TF|USP4|NOP53|SIAH3|PRKCD|CCDC88C|PARK7|PTEN|WNT10B|PINK1|SUMO1|COG3|SYVN1|TBL1X|COG7|COMMD1|USP10|GSN|NCLN|SH3GLB1|HDAC6|SNCA|TRIM39|A1CF|HIP1R|CMTM6|PEX19|HSPD1|PRNP|CUL3|IRGM|CDC73|LMNA|USP26|XBP1|PPIB|USP9X|PIM1|MSX1|NF2|RAB21|GGA3|SLC51B|GOLGA7|POLR2E|PYHIN1|MFSD8|BAG4|RTN4|GLMP|CDKN2A|HTT|DNLZ|MUL1|RNF128|CREBBP|CSNK2A1|PPARGC1A|VHL|PARVA|UBL4A|LAMP1|TREX1|BMP2|LRRK2|PEX6|PIN1|PHB1|PIM2|ZNF207|STXBP4|NAPG|TAF9B|CCAR2|CAPN3|PYCARD|TNIP2|PLPP3|GPIHBP1|ATP1B1|IFT80|MORC3|TRIM21|BAG3|CCNH|CDK7|CASP3|CDC37|TYROBP|CHEK2|RASSF2|USP18|FLNA|USP27X|USP29|USP38|HDAC3|SMAD3|SEL1L|PLK1|PML|URI1|YWHAZ|DDRGK1|RNF139|TMC8|TERT|PRKDC|PHB2|SEC16A|DACT1|FBXO7|FBXW7|MFSD1|FBXW11|CTSA|FAM107A|RUVBL1|RUVBL2|SMAD7|SIRT1|TOMM7|LAMP2|CSN3|USP5|MCM8|USP30|VPS35|WDR81|PEX2|HSPA1A|RASSF1|GNAQ|HSPA8|STXBP1|CTSH|USP1|APOA1|KAT2A|APOA2|TELO2|KHDRBS1|USP13|USP19|TTI1|USP25|TTI2|WFS1|RNF5|USP28|SWSAP1|CCT2|CHP1|SEPTIN8|CCT3|CCT4|CCT5|CCT6A|CCT7|CCT8|TPR|EPHA4|ZSWIM7|SREBF1|STUB1|STX12|NPM1|MARCHF7|KDM8|GRN|PIK3R1|SAXO1|HPS4|TSC1|UBR4|USP8|BAG2|BAG5|PRKN|BTRC|PRKRA|UFL1|FBXO4|USP36|CHFR|CRYAB|TRIM44|GNL3L|VPS11|GTPBP4|DCAF11|DERL1|H1-5|DVL1|HDAC8|QRSL1|HSP90AA1|GBA3|IP6K2|FBXL3|EP300|CALR|MAPK1|GAPDH|PIH1D1|PIH1D2|TBRG1|RPL5|MTMR1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_PROTEIN_STABILITY,366,ENR,GOBP_REGULATION_OF_PROTEIN_STABILITY,1,3.8535646000000001E-3,GOBP_REGULATION_OF_PROTEIN_STABILITY,FALSE,GOBP_REGULATION_OF_PROTEIN_STABILITY
4,1.7015679786283699,1.7015679786283699,1.7015679786283699,0.98011928400000004,,8.7997469999999994E-2,,TMEM230|TOR1A|TRIM46|BLOC1S6|AP3B1|KIF1B|KIF5A|KIF5B|RAB3A|KIF5C|KIFC2|SNAPIN|LIN7A|LIN7B|LIN7C|MAP2|PINK1|BLOC1S1|MX1|MX2|SPG11|AP3B2|AP3M1|AP3M2|BLOC1S2|PDZD11|BLOC1S3|SNCA|BLOC1S4|RAB27A|BLOC1S5|BORCS5|CTNNB1|CDK5|BTBD8|SLC2A4|AP1G1|LRRK2|AP3D1|AP3S1|AP3S2|SYNJ1|DNM2|DNM1|DNM3|DTNBP1|PRKN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SYNAPTIC_VESICLE_TRANSPORT,47,ENR,GOBP_SYNAPTIC_VESICLE_TRANSPORT,1,1.9880716E-2,GOBP_SYNAPTIC_VESICLE_TRANSPORT,FALSE,GOBP_SYNAPTIC_VESICLE_TRANSPORT
27,2.2077241144525201,2.2077241144525201,2.2077241144525201,0.99380165300000001,,6.8453394000000001E-2,,HDAC4|SETD3|ANTKMT|CAPN3|SMYD2|KAT5|KAT7|NSMCE1|HDAC9|NSMCE2|TRPM4|KMT5A|NSMCE3|NSMCE4A|VCPKMT|DIP2A|ATPSCKMT|BLOC1S1|PIAS3|SIRT4|SIRT5|ATAT1|CTH|EGR1|USPL1|PIAS4|SENP2|PML|SUMO4|RANBP2|SMC5|SMC6|CSKMT|LOXL3|MDM2|PIAS2|RWDD3|SENP3|SETD2|SETD7|ZNF451|P3H4|SIRT1|SLF1|SLF2|BAG6|TRIM28|NDUFAB1|PIAS1|IFIH1|HINT1|ZBED1|SENP6|JMJD6|KAT2A|KAT2B|UBE2I|SENP1|NAT8|PLOD2|PLOD3|PARK7|PLOD1|SUMO1|SUMO2|BCL11A|TOPORS|CBX4|DHPS|SIRT3|DIP2B|STX1A|DOHH|EGR2|FSCB|HMG20A|TRIM38|HMG20B|IVL|CTNNB1|KIAA1586|KLF15|LIPT2|LOXL2|NFATC2IP|NNAT|P3H3|RASD2|SENP5|SUMO3|TOLLIP|UBA2|UHRF2|ZMIZ1|EHMT2|ZMIZ2|EID3|ESCO1|SENP7|VIPAS39|TRIM27|GNL3|GNL3L|HDAC7|VPS33B|RANGAP1|EEF1AKMT1|DESI1|EEF1AKMT2|EEF1AKMT3|CDKN2A|EEF2KMT|ARNT|EHMT1|MUL1|RELA|SETD6|CREBBP|METTL18|LOX|METTL21C|EP300|RNF212|EYA1|SIRT2|SAE1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PEPTIDYL_LYSINE_MODIFICATION,126,ENR,GOBP_PEPTIDYL_LYSINE_MODIFICATION,1,6.1983469999999999E-3,GOBP_PEPTIDYL_LYSINE_MODIFICATION,FALSE,GOBP_PEPTIDYL_LYSINE_MODIFICATION
14,2.71432976660709,2.71432976660709,2.71432976660709,1,,1.8110951E-2,,ST3GAL2|FUT1|GAA|FUT8|NPC1|MGAT2|MOGS|MAN1B1|HEXB|AMY1A|B3GALNT1|B3GALT2|B3GALT4|B3GALT5|CTBS|FUT2|FUT4|GBA3|FUT3|FUT7|GLA|FUT6|FUT9|GAL3ST4|GM2A|IDUA|MAN2B1|ST3GAL3|B4GALT1|MAN2B2|MAN2C1|MANBA|ST6GALNAC3|MGAM|ST6GALNAC4|MPDU1|ST3GAL6|ST6GAL2|LCT|ST6GALNAC1|ST6GALNAC5|ST6GALNAC6|SI|ST8SIA1|ST8SIA2|ST8SIA3|B3GALT1|ST8SIA4|B4GALNT2|NAGA|ST3GAL4|ST8SIA5|ST8SIA6|NEU1|TREH|NEU3|NEU4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS,57,ENR,GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS,1,0,GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS,FALSE,GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS
3,2.0863598471779401,2.0863598471779401,2.0863598471779401,0.99180327899999998,,8.1620650000000003E-2,,CAMKK2|FBXO7|HK2|AMBRA1|VDAC1|ATP5IF1|SLC25A4|SLC25A5|GBA1|TOMM7|PARK7|PINK1|HTT|MUL1|CDC37|VPS13D|CERS1|STUB1|BNIP3|HDAC6|NOD2|HUWE1|DELE1|IRGM|EIF2AK1|UBE2A|PRKN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION,27,ENR,GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION,1,8.1967210000000006E-3,GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION,FALSE,GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION
