donor,age_yr,weighted_burden_per_kb,weighted_burden_per_kb_robust_z
TSP1,59,0.0016301566086014997,
TSP10,33,0.0025097324650011003,
TSP14,59,0.0003858976159855657,
TSP15,46,0.0007210030516313882,
TSP2,61,0.0018112855696976382,
TSP21,45,0.00034981486388875935,
TSP26,37,0.0003699769198943971,
TSP30,26,0.00025060418531323283,
TSP4,38,0.0002774442388391277,
TSP7,69,0.0005686053196836925,
TSP9,37,0.0001863019704216019,
