donor,age_yr,mean_burden_per_kb,zscore
TSP1,59,0.0007167276622935765,-0.35701641315839683
TSP14,59,0.0005272777963835467,-0.7139111721851433
TSP15,46,0.0009278129767040501,0.04063624317226448
TSP2,61,0.0012092724285890188,0.5708630806195428
TSP3,57,0.0005003020083227813,-0.7647294577154988
TSP5,40,0.0005412820655564469,-0.6875292571185921
TSP6,67,0.00019683486861511875,-1.3364154347852155
TSP7,69,0.0015268671871326422,1.1691633447770975
TSP8,56,0.0008453941562315838,-0.11462829043135755
