donor,age_yr,cell_type,mutations,callable_sites,burden_per_bp,burden_per_kb
TSP10,33,mature_NK_T_cell,130,48933502,2.656666592143763e-06,0.002656666592143763
TSP10,33,memory_B_cell,40,17493720,2.2865348250686534e-06,0.0022865348250686534
TSP10,33,mesenchymal_stem_cell,8,4269343,1.8738246142322133e-06,0.0018738246142322133
TSP10,33,monocyte,4,2586866,1.5462725939418586e-06,0.0015462725939418586
TSP10,33,myofibroblast_cell,30,22188239,1.3520676426822337e-06,0.0013520676426822336
TSP10,33,naive_B_cell,121,35616238,3.3973268035776265e-06,0.0033973268035776263
TSP10,33,naive_thymus-derived_CD4-positive_alpha-beta_T_cell,9,3105126,2.898433107062322e-06,0.0028984331070623223
TSP10,33,naive_thymus-derived_CD8-positive_alpha-beta_T_cell,0,36386,0.0,0.0
TSP10,33,neutrophil,3,1950191,1.5383108628847123e-06,0.0015383108628847122
TSP10,33,non-classical_monocyte,0,169535,0.0,0.0
TSP10,33,pericyte,1,176449,5.6673599737034495e-06,0.00566735997370345
TSP10,33,plasma_cell,8,5818953,1.3748177722006003e-06,0.0013748177722006003
TSP10,33,pulmonary_alveolar_type_1_cell,0,12780,0.0,0.0
TSP10,33,pulmonary_alveolar_type_2_cell,3,1485533,2.0194771842833513e-06,0.002019477184283351
TSP10,33,regulatory_T_cell,0,51882,0.0,0.0
TSP10,33,respiratory_goblet_cell,0,87837,0.0,0.0
TSP10,33,retinal_blood_vessel_endothelial_cell,0,26193,0.0,0.0
TSP10,33,skeletal_muscle_satellite_stem_cell,0,593593,0.0,0.0
TSP10,33,smooth_muscle_cell,1,56366,1.7741191498421035e-05,0.017741191498421034
TSP10,33,stromal_cell,0,16169,0.0,0.0
TSP10,33,type_I_NK_T_cell,2,1012980,1.9743726430926574e-06,0.0019743726430926575
TSP10,33,vein_endothelial_cell,0,52580,0.0,0.0
TSP14,59,B_cell,163,153721313,1.0603604459194282e-06,0.0010603604459194283
TSP14,59,CD4-positive_alpha-beta_T_cell,3,5198056,5.771388380579201e-07,0.0005771388380579201
TSP14,59,CD4-positive_alpha-beta_memory_T_cell,9,26413410,3.407360125027401e-07,0.0003407360125027401
TSP14,59,CD8-positive_alpha-beta_T_cell,2,2457676,8.137769177059955e-07,0.0008137769177059955
TSP14,59,CD8-positive_alpha-beta_cytokine_secreting_effector_T_cell,0,591624,0.0,0.0
TSP14,59,CD8-positive_alpha-beta_memory_T_cell,26,55103286,4.7184118928950987e-07,0.00047184118928950987
TSP14,59,Mueller_cell,0,105600,0.0,0.0
TSP14,59,T_cell,54,91014017,5.933152033054425e-07,0.0005933152033054425
TSP14,59,basal_cell,25,46479059,5.378766381651574e-07,0.0005378766381651574
TSP14,59,basophil,0,711304,0.0,0.0
TSP14,59,bladder_urothelial_cell,110,102644062,1.0716645255134193e-06,0.0010716645255134192
TSP14,59,capillary_endothelial_cell,8,18257738,4.381703801423813e-07,0.00043817038014238127
