gene,slope_z,r,p,n_cells_expr,gene_symbol,biotype
ENSG00000261341,0.0065419825398946,0.0076511254716574,0.6314084390943431,3934,SMIM47,protein-coding
ENSG00000184611,-0.0287442889758576,-0.0502724999579448,0.0016341094174573,3923,KCNH7,protein-coding
ENSG00000162062,-0.0024633324679554,-0.00560056553307,0.7263353303062001,3908,TEDC2,protein-coding
ENSG00000130643,-0.0209128051100658,-0.0410909638111874,0.0102082331700341,3907,CALY,protein-coding
ENSG00000187527,-0.0095741542683213,-0.0161350940367981,0.3133805519398326,3906,ATP13A5,protein-coding
ENSG00000259916,0.0139290047787821,0.0193281021832732,0.2273436825114489,3903,AQP7B,protein-coding
ENSG00000260001,-0.0015875838899906,-0.0016189915383665,0.9194714158399968,3902,TGFBR3L,protein-coding
ENSG00000130045,-0.0198349549767508,-0.04409746106583,0.0058746708935536,3901,NXNL2,protein-coding
ENSG00000177807,-0.0089629527701233,-0.0111082323417252,0.488046684223371,3899,KCNJ10,protein-coding
ENSG00000130822,-0.0191723337138674,-0.032855123555255,0.0402758896753793,3897,PNCK,protein-coding
ENSG00000163449,-0.0189971772617615,-0.0254205473749478,0.1125921029938761,3897,TMEM169,protein-coding
ENSG00000145721,1.7492108610170294e-05,2.23373299499363e-05,0.9988881922436474,3894,LIX1,protein-coding
ENSG00000141434,-0.0168642715263581,-0.0321163201047025,0.0450983338020332,3893,MEP1B,protein-coding
ENSG00000243709,-0.0051445600838019,-0.0472184415087019,0.0032103850783637,3893,LEFTY1,protein-coding
ENSG00000241404,-0.0076978738164718,-0.0120935783371821,0.450813192610826,3890,EGFL8,protein-coding
ENSG00000167914,-0.0220374078615197,-0.0433118438671139,0.0068974888611726,3890,GSDMA,protein-coding
ENSG00000164509,0.0068056358743233,0.0085093576075206,0.5959557951289458,3885,IL31RA,protein-coding
ENSG00000144460,-0.0025411446184571,-0.0044969028475417,0.7794886017235289,3879,NYAP2,protein-coding
ENSG00000253649,-0.0189691346995945,-0.0243236289960842,0.1300094553405096,3876,PRSS51,protein-coding
ENSG00000215784,-0.0032753420500944,-0.0047517634083282,0.7674291809108278,3876,FAM72D,protein-coding
ENSG00000172724,-0.0016073311698975,-0.0033824610952275,0.8333707593115645,3871,CCL19,protein-coding
ENSG00000136274,0.0009895636327631,0.0016974443443638,0.9159400475453948,3869,NACAD,protein-coding
ENSG00000161031,-0.0368625939215214,-0.0573538869064822,0.0003592396241562,3867,PGLYRP2,protein-coding
ENSG00000123977,0.0068687281669906,0.0101705802361096,0.5272629209406521,3866,DAW1,protein-coding
