gene,slope_z,r,p,n_cells_expr,gene_symbol
ENSG00000201701,0.0,0.0,1.0,48,LOC124900559
ENSG00000197591,0.0,0.0,1.0,48,OR11L1
ENSG00000248777,0.0,0.0,1.0,48,LOC100129344
ENSG00000274764,0.0,0.0,1.0,48,PRAMEF27
ENSG00000165059,-0.0086183580866785,-0.0626152796123175,0.6724473599464389,48,PRKACG
ENSG00000200304,0.0448006771391995,0.0932792020827228,0.5283025338949756,48,RNU6-1255P
ENSG00000233473,0.0,0.0,1.0,48,RAD1P2
ENSG00000236932,0.0,0.0,1.0,48,CEACAMP8
ENSG00000213911,0.0,0.0,1.0,48,OR2G1P
ENSG00000214487,0.0211093524465293,0.0633585320235735,0.6687820266680085,48,OR7E148P
ENSG00000138136,-0.0075593760804128,-0.0235057505716232,0.8739984555105492,48,LBX1
ENSG00000214669,0.0,0.0,1.0,48,C14orf119P1
ENSG00000214147,0.0,0.0,1.0,48,ENAHP1
ENSG00000230609,0.0,0.0,1.0,48,COX7CP4
ENSG00000232423,-0.0069591035517925,-0.0813538877885283,0.5825309917968537,48,PRAMEF6
ENSG00000123594,0.0,0.0,1.0,48,ATXN3L
ENSG00000251284,0.0,0.0,1.0,48,SPOPLP1
ENSG00000228949,0.171524525826804,0.1595175027174003,0.278812509369663,48,UGT1A12P
ENSG00000244235,0.1172425833606048,0.1052188441716745,0.4766250090566507,48,RPL17P30
ENSG00000274369,0.0,0.0,1.0,48,GRAMD4P4
ENSG00000213233,0.0597941535466777,0.111521836420781,0.4504662908493744,48,RPL23AP62
ENSG00000279270,0.0,0.0,1.0,48,OR52R1
ENSG00000237930,-0.0620905324324685,-0.112202403707647,0.447689654659547,48,RPL31P14
ENSG00000240704,0.0,0.0,1.0,48,KLF7P1
ENSG00000239539,0.0,0.0,1.0,48,HMGN1P20
ENSG00000186572,-0.0344820471197573,-0.0532555449562795,0.7192250375159581,48,DEFB107A
ENSG00000277260,0.0,0.0,1.0,48,FAM74A7
ENSG00000229361,0.0,0.0,1.0,48,UBTFL7
ENSG00000285480,-0.0190559107510416,-0.0346079650521893,0.8153571692339159,48,H2BK1
