,Embryoblast,Germ layer-specific,Tissue-specific,Adult-specific
1-M-62,1.4031917150715754,3.3607494471913233,39.033276018611076,56.20278281912602
1-M-63,6.180378542360189,17.834899609875,22.941864884343428,53.04285696342138
18-F-50,10.600158330168611,12.800327535296965,34.281261194266506,42.31825294026791
18-M-52,9.861381566877673,9.020564918161313,29.5894945242272,51.528558990733806
21-F-54,3.0644053947009637,13.995197061529355,31.58335839917621,51.35703914459347
21-F-55,10.447429692763544,14.443929540958253,29.42781676600253,45.680824000275685
30-M-2,4.534146550352138,16.42040331848721,46.09777634988339,32.947673781277274
30-M-4,1.730164577348111,2.2785629067465947,31.339941470542787,64.6513310453625
30-M-5,12.802609731827367,5.990115995008106,28.52104800630737,52.68622626685716
