Unnamed: 0,Embryoblast,Germ layer-specific,Tissue-specific,Adult-specific
1-M-62,4.291252942879728e-05,0.0001204701418627,0.0012239540627714,0.0018732651254004
1-M-63,0.000165726686521,0.0004448454256764,0.000913479537044,0.0014250363002483
18-F-50,0.0006777392283279,0.0003629333438966,0.001326777305561,0.0018344052750367
18-F-51,0.0007872054454003,0.0003534352932869,0.0012676492338406,0.0022899554346871
18-M-52,0.0005076035776502,0.0005507483207006,0.0011991618196193,0.0019310566269027
18-M-53,0.0,0.0003010428062288,0.0017969503809633,0.0031690521465327
21-F-54,0.000319000775679,0.0004736870799949,0.0011766894835706,0.0019327198219011
21-F-55,0.0004340308080856,0.0005616234248983,0.0011373876107095,0.0014512664783991
30-M-2,0.005310518107643,0.0005380453708729,0.0017731351350134,0.0008219705419023
30-M-4,0.0024129121275089,0.0001721153728922,0.0011373568100211,0.0047021184286304
30-M-5,0.0010415624936625,0.0002691076249079,0.0012123696019551,0.0030853051603858
