,Embryoblast,Germ layer-specific,Tissue-specific,Adult-specific
1-M-62,2.2168050726152295e-05,5.309414488627115e-05,0.0006166596007476688,0.0008879087063464837
1-M-63,8.117112476779302e-05,0.00023423789522468002,0.00030131115176348705,0.000696648001592125
18-F-50,0.0004927694874744797,0.0005950487381987458,0.0015936327536353668,0.00196724833371989
18-M-52,0.00021544393187310971,0.00019707441198836401,0.0006464486744787608,0.0011257565968248147
21-F-54,8.785298562690779e-05,0.0004012262373700271,0.000905458636866507,0.0014723473694480936
21-F-55,0.0003075022192747438,0.0004251323549915005,0.0008661574406405627,0.0013445369025180838
30-M-2,5.2689329008579444e-05,0.00019081430723366218,0.0005356820468174512,0.0003828704706940366
30-M-4,7.827812054738758e-05,0.00010308939636395597,0.0014179181266902256,0.002925030804222569
30-M-5,0.0004910860751565959,0.00022977054017418703,0.0010940183148714295,0.002020952963041716
