Unnamed: 0,Embryoblast,Germ layer-specific,Tissue-specific,Adult-specific
1-M-62,1.3492295439090345,3.785338845216852,37.010727168564486,57.85470444230963
1-M-63,7.078236180597824,15.074547984598317,30.47443052807004,47.37278530673382
18-F-50,16.150527700485497,8.654916774798734,31.63410132690344,43.560454197812334
18-F-51,16.779579032637923,7.51877738961178,27.0429241793192,48.6587193984311
18-M-52,12.553403359226204,13.065495571836784,28.58440942756244,45.79669164137457
18-M-53,0.0,5.732373894022326,34.262357713015604,60.00526839296207
21-F-54,8.153430116700259,12.451218229581556,29.83975172396029,49.55559992975788
21-F-55,12.059958352566508,15.6495166825739,31.778081861849287,40.5124431030103
30-M-2,62.93794467930128,6.388217099461649,20.926951130725907,9.746887090511182
30-M-4,28.51892483042462,2.062667529651184,13.520899767852166,55.89750787207204
30-M-5,18.49958300685909,4.831077676928877,21.68829292957023,54.981046386641786
