,Embryoblast,Germ layer-specific,Tissue-specific,Adult-specific
1-M-62,2.2168050726152295e-05,7.526219561242345e-05,0.0006919217963600923,0.001579830502706576
1-M-63,8.117112476779302e-05,0.00031540901999247307,0.0006167201717559601,0.001313368173348085
18-F-50,0.0004927694874744797,0.0010878182256732255,0.0026814509793085923,0.0046486993130284825
18-M-52,0.00021544393187310971,0.00041251834386147376,0.0010589670183402346,0.0021847236151650495
21-F-54,8.785298562690779e-05,0.0004890792229969348,0.0013945378598634417,0.0028668852293115355
21-F-55,0.0003075022192747438,0.0007326345742662443,0.001598792014906807,0.0029433289174248907
30-M-2,5.2689329008579444e-05,0.00024350363624224162,0.0007791856830596927,0.0011620561537537292
30-M-4,7.827812054738758e-05,0.00018136751691134355,0.0015992856436015692,0.0045243164478241385
30-M-5,0.0004910860751565959,0.0007208566153307828,0.0018148749302022123,0.0038358278932439285
