Unnamed: 0,Embryoblast,Germ layer-specific,Tissue-specific,Adult-specific
1-M-62,4.291252942879728e-05,0.0001633826712915,0.001387336734063,0.0032606018594634
1-M-63,0.000165726686521,0.0006105721121974,0.0015240516492414,0.0029490879494898
18-F-50,0.0006777392283279,0.0010406725722246,0.0023674498777856,0.0042018551528223
18-F-51,0.0007872054454003,0.0011406407386873,0.002408289972528,0.0046982454072151
18-M-52,0.0005076035776502,0.0010583518983508,0.0022575137179701,0.0041885703448729
18-M-53,0.0,0.0003010428062288,0.0020979931871922,0.0052670453337249
21-F-54,0.000319000775679,0.000792687855674,0.0019693773392446,0.0039020971611457
21-F-55,0.0004340308080856,0.0009956542329839,0.0021330418436934,0.0035843083220926
30-M-2,0.005310518107643,0.0058485634785159,0.0076216986135293,0.0084436691554316
30-M-4,0.0024129121275089,0.0025850275004011,0.0037223843104223,0.0084245027390527
30-M-5,0.0010415624936625,0.0013106701185704,0.0025230397205255,0.0056083448809114
